"P_OBJECT_SYST"	"P_TYPE_SYST"	"P_OBJECT_LOCA"	"P_TYPE_LOCA"	"CODE"	"OBJ_DESC"	"TYPE"	"TYPE_DESC"	"OBJ_UNISOL"	"SYSTEM_STATUS"	"SYSTEM_STATUS_DESC"	"USER_STATUS"	"USER_STATUS_DESC"	"CLASS"	"CLASS_DESC"	"DENOMINATOR"	"DENOMINATOR_DESC"	"SPECIFIC_LOCATION"	"INSTALL_DATE"	"MODEL_NO"	"SERIAL_NUMBER"	"MANFACTURER"	"OBJ_OMS_ONLY"	"OBJ_OMS_UNISOL_VERIFIED"	"OBJ_UPDATE_REASON"	"UPDATE_DATE"	"UPDATED_BY"	"OBJ_CODE_DOC"	"OBJ_POSITION"	"UNI_CRITICALITY"	"UNI_CRITICALITY_DESC"	"PRIM_SECE_ID"	"SECE_ID_2"	"SECE_ID_3"	"SECE_ID_4"	"PRIM_SECE_ID_DESC"	"SECE_ID_2_DESC"	"SECE_ID_3_DESC"	"SECE_ID_4_DESC"
"DK.HB.D.053"	"SYST"	"HBDC"	"LOCA"	"HBDC-HCV-535509-V1"	"HAND CONTROL VALVE"	"FLOC"	"Functional Location"	"HB /D /76/HBDC-HCV-535509-V1"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PHCV"	"HAND CONTROL VALVE"	""	""	"HP DISCHARGE COOLER E-4453"		""	""	""	"N"	"Y"	""		""	"DK.HB.D.053.HBDC-HCV-535509-V1"	""	"S"	"Secondary"	""	""	""	""	""	""	""	""
"DK.HB.D.053"	"SYST"	"HBDC"	"LOCA"	"HBDC-HCV-535505-V1"	"HAND CONTROL VALVE"	"FLOC"	"Functional Location"	"HB /D /31/HBDC-HCV-535505-V1"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PHCV"	"HAND CONTROL VALVE"	""	""	"IP DISCHARGE COOLER E-4353"		""	""	""	"N"	"Y"	""		""	"DK.HB.D.053.HBDC-HCV-535505-V1"	""	"S"	"Secondary"	""	""	""	""	""	""	""	""
"DK.SK.C.012"	"SYST"	"SKCA"	"LOCA"	"SKCA-BM-1214A_7"	"HVAC FAN B-1214A TRIPPED"	"FLOC"	"Functional Location"	"SK /C /09/SKCA-BM-1214A_7"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PRL"	"PANEL LAMP"	"SKD"	"SKJOLD DEVELOPMENT CERTIFICATION"	"F.W. PUMP SKID, DP-1201"		""	""	""	"N"	"Y"	""		""	"DK.SK.C.012.SKCA-BM-1214A_7"	"400123206"	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.018"	"SYST"	"DFFA"	"LOCA"	"DFFA-LN-1802-7510-L1E"	"NORMAL LIGHTING FIXTURE"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PFIX"	"LIGHTING FIXTURE"	""	""	""		""	""	""	"N"	"N"	""		""	"DK.DF.F.018.DFFA-LN-1802-7510-L1E"	""	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.018"	"SYST"	"DFFA"	"LOCA"	"DFFA-LN-1802-7509-L3G"	"NORMAL LIGHTING FIXTURE"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PFIX"	"LIGHTING FIXTURE"	""	""	""		""	""	""	"N"	"N"	""		""	"DK.DF.F.018.DFFA-LN-1802-7509-L3G"	""	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.018"	"SYST"	"DFFA"	"LOCA"	"DFFA-LN-1802-7511-L2C"	"NORMAL LIGHTING FIXTURE"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PFIX"	"LIGHTING FIXTURE"	""	""	""		""	""	""	"N"	"N"	""		""	"DK.DF.F.018.DFFA-LN-1802-7511-L2C"	""	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.018"	"SYST"	"DFFA"	"LOCA"	"DFFA-LN-1803-3502-L2F"	"NORMAL LIGHTING FIXTURE"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PFIX"	"LIGHTING FIXTURE"	""	""	""		""	""	""	"N"	"N"	""		""	"DK.DF.F.018.DFFA-LN-1803-3502-L2F"	""	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.018"	"SYST"	"DFFA"	"LOCA"	"DFFA-LN-1802-7513-L1D"	"NORMAL LIGHTING FIXTURE"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PFIX"	"LIGHTING FIXTURE"	""	""	"DFF LEVEL 1 PROCESS AREA"		""	""	""	"N"	"N"	"ACC. TO WO-DFF-200343510"	22-DEC-16	"MEL_SCHEMA5"	"DK.DF.F.018.DFFA-LN-1802-7513-L1D"	"400438862"	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.018"	"SYST"	"DFFA"	"LOCA"	"DFFA-LN-1803-3502-L2D"	"NORMAL LIGHTING FIXTURE"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PFIX"	"LIGHTING FIXTURE"	""	""	""		""	""	""	"N"	"N"	""		""	"DK.DF.F.018.DFFA-LN-1803-3502-L2D"	""	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.018"	"SYST"	"DFFA"	"LOCA"	"DFFA-LN-1802-7513-L1C"	"NORMAL LIGHTING FIXTURE"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PFIX"	"LIGHTING FIXTURE"	""	""	""		""	""	""	"N"	"N"	""		""	"DK.DF.F.018.DFFA-LN-1802-7513-L1C"	""	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.018"	"SYST"	"DFFA"	"LOCA"	"DFFA-LN-1802-7513-L1A"	"NORMAL LIGHTING FIXTURE"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PFIX"	"LIGHTING FIXTURE"	""	""	""		""	""	""	"N"	"N"	""		""	"DK.DF.F.018.DFFA-LN-1802-7513-L1A"	""	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.018"	"SYST"	"DFFA"	"LOCA"	"DFFA-LN-1803-3503-L3B"	"NORMAL LIGHTING FIXTURE"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PFIX"	"LIGHTING FIXTURE"	""	""	"DFF, LEVEL 1 WELLHEAD"		""	""	""	"N"	"N"	"ACC. TO WO-DFF-200343978"	12-JAN-17	"MEL_SCHEMA5"	"DK.DF.F.018.DFFA-LN-1803-3503-L3B"	"400443951"	""	""	""	""	""	""	""	""	""	""
"DK.DF.F.053"	"SYST"	"DFFA"	"LOCA"	"DFFA-V-5302"	"EAF DOSING VESSEL"	"FLOC"	"Functional Location"	"DF /F /52/DFFA-V-5302"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PVE"	"PRESSURE VESSEL"	"DFF"	"DAN FF PLATFORM DEVELOPMENT"	"LEVEL 1-SW IN A-5302"		""	""	""	"N"	"Y"	""		""	"DK.DF.F.053.DFFA-V-5302"	"400134621"	"I"	"Important"	""	""	""	""	""	""	""	""
"DK.DF.F.053"	"SYST"	"DFFA"	"LOCA"	"DFFA-V-5304"	"ELECTRONIC ANTIFOULING DOSING VESSEL"	"FLOC"	"Functional Location"	"DF /F /52/DFFA-V-5304"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PVE"	"PRESSURE VESSEL"	"DFFWIU"	"DAN FF WATER INJECTION UPGRADE"	"LEVEL 1 SW BY LIFT PUMP P-5304."		""	""	""	"N"	"Y"	""		""	"DK.DF.F.053.DFFA-V-5304"	"400010987"	"I"	"Important"	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC9"	"LOCA"	"GC-JB-1070"	"POWER JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"GC CELLAR WORKSHOP"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-1070"	"400027212"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC9"	"LOCA"	"GC-JBF-75231"	"JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GSR13B"	"WATERMIST 2'ND"	"VOID UNDER CCR"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-75231"	"400162916"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC9"	"LOCA"	"GC-JB9-53"	"INSTRUMENT J.B."	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"INST.JB. MODUL 9 VED SEWAGE TREATMENT M-900"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB9-53"	"400187158"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC4"	"LOCA"	"GC-JB1-041"	"POWER AND CONTROL J.B."	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"FROGR.BOX TIL INST/PNEU. C204A PURG.CONTR. EQ."		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB1-041"	"400040262"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-IJB5-27"	"IS JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"GORM C MODUL 5 LOWER S/	"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-IJB5-27"	"400099457"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC9"	"LOCA"	"GC-JBF-75820"	"F&G JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PEJB"	"JUNCTION BOX - ELECTRICAL"	"GIMTYG"	"GORM, IMPORT OF TYRA GAS FOR START-UP"	"GOC CELLAR DECK"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-75820"	"400131654"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC2"	"LOCA"	"GC-JB-20001"	"IS JUNCTIONBOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PEJB"	"JUNCTION BOX - ELECTRICAL"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"MODUL 2 UPPER N/	"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-20001"	"400027627"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC7"	"LOCA"	"GC-JB-7A-635"	"FIRE & GAS JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PEJB"	"JUNCTION BOX - ELECTRICAL"	"GOYSR"	"CHANGE OUT OF EXISTING F&G/ESD SYSTEM"	"1 FLOOR MODULE 7 GAIT"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-7A-635"	"400097400"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC3"	"LOCA"	"GC-JB3-2"	"POWER AND CONTROL J.B."	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"VEST V	G UTILITY RUM VED E-401A MODUL 3LOWER"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB3-2"	"400059375"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-IJB5-26"	"IS JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"GORM C MODUL 5 LOWER S/	"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-IJB5-26"	"400153633"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC9"	"LOCA"	"GC-JB-0931"	"FIRE & GAS JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PEJB"	"JUNCTION BOX - ELECTRICAL"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"GC CELLAR BY LEG B2"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-0931"	"400188572"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC3"	"LOCA"	"GC-JBF-03256"	"JUNCTION BOX FOR PSL IN CO2 SKID"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"HALON7"	"GORM E GENERATORS AND ROOMS"	"MODULE 3L, INSIDE CO2 SKID A-0305"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-03256"	"400073866"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC3"	"LOCA"	"GC-JB-XSL-03100"	"JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"GORM C, MODUL 3 LOWER, SYD/	ST HJ	RNE"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-XSL-03100"	"400143032"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-75153"	"FIRE & GAS JUNCTIONBOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GSR13A"	"WATERMIST 1'ST"	"M5 ROOF, WATER MIST CABIN - INSIDE A-0485"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-75153"	"400064842"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-05995"	"FIRE & GAS JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GOSDPH"	"GORM NEW TURBINE SHUTDOWN PHILOSOPHY."	"MODULE 5 UPPER"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-05995"	"400078183"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC9"	"LOCA"	"GC-JB-09186"	"JB FOR TRANSMITTERS"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PIJB"	"JUNCTION BOX - INSTRUMENT"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"CELLAR DECK, HANDRAIL NEXT TO FLARE BRIDGE"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-09186"	"400048929"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JB-5-600-2"	"JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"TME"	"MAINTENANCE ELECTRICAL - VARIUS MINOR"	"M5 LOWER, NORD/VEST HJ	RNE"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-5-600-2"	""	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC4"	"LOCA"	"GC-IJB4-63"	"IS JUNCTIONBOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"GORM C MODUL 4 LOWER UDV NORD, TURBINE EXHAUST"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-IJB4-63"	"400133801"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PI-301225"	"PRESSURE INDICATOR ZONE V, WELL 12"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPI"	"PRESSURE INDICATOR"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"N"	"PU-TSB-1"	22-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PI-301225"	"400357032"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300726"	"PRESSURE TRANSMITTER ZONE VI, WELL 7"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300726"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300726"	"400356805"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300927"	"PIT COMMON, WELL 9"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300927"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300927"	"400356820"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-301022"	"PRESSURE TRANSMITTER ZONE II, WELL 10"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-301022"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-301022"	"400356822"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-301023"	"PRESSURE TRANSMITTER ZONE III, WELL 10"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-301023"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-301023"	"400356823"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-301126"	"PRESSURE TRANSMITTER ZONE VI, WELL 11"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-301126"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-301126"	"400356833"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300223"	"PRESSURE TRANSMITTER ZONE III, WELL 2"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300223"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300223"	"400356754"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300323"	"PRESSURE TRANSMITTER ZONE III, WELL 3"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300323"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300323"	"400356761"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300524"	"PRESSURE TRANSMITTER ZONE IV, WELL 5"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300524"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300524"	"400356776"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300521"	"PRESSURE TRANSMITTER ZONE I, WELL 5"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300521"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300521"	"400356773"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300626"	"PRESSURE TRANSMITTER ZONE VI, WELL 6"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300626"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300626"	"400356798"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PI-300422"	"PRESSURE INDICATOR ZONE II, WELL 4"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPI"	"PRESSURE INDICATOR"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"N"	"PU-TSB-1"	22-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PI-300422"	"400356972"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-TIT-300208"	"TEMPERATUR TRANSMITTER, SCADA"	"FLOC"	"Functional Location"	"TS /B /10/TSB-TIT-300208"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PTIT"	"TEMP.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"MEZZANINE DECK"		""	""	""	"N"	"Y"	"MEL-TSY-2"	18-SEP-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-TIT-300208"	"400359785"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-301221"	"SOLENOID VALVE ZONE I, WELL 12"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"N"	"PU-TSB-1"	22-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-301221"	"400356940"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-301028"	"SOV C VALVE, WELL 10"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"N"	"PU-TSB-1"	22-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-301028"	"400356929"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-300822"	"SOLENOID VALVE ZONE II, WELL 8"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"N"	"PU-TSB-1"	22-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-300822"	"400356905"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-300827"	"SOV COMMON, WELL 8"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"N"	"PU-TSB-1"	22-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-300827"	"400356910"	""	""	""	""	""	""	""	""	""	""
