"equipment class name","equipment class CFIHOS unique id","equipment property name","equipment property CFIHOS unique id","property relevant for equipment indicator","property relevant for model / part indicator","SI unit of measure code","imperial unit of measure code","source standard code","source standard section","property name in source standard","status","change request number","created date","modified date","terminated date"
"concentration transmitter","CFIHOS-30000021","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"concentration transmitter","CFIHOS-30000021","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"concentration transmitter","CFIHOS-30000021","fault tolerance","CFIHOS-40000635",,,,,"ISO 14224:2016",,,"STANDARD","CR0028;FR37","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"concentration transmitter","CFIHOS-30000021","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","ATEX category","CFIHOS-40000009",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","ATEX explosive atmosphere","CFIHOS-40000010",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","ATEX group","CFIHOS-40000011",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","explosion protection concept","CFIHOS-40000108",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","explosion protection examination certificate number","CFIHOS-40000109",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","explosion protection gas group","CFIHOS-40000110",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","explosion protection notified body","CFIHOS-40000111",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity cell","CFIHOS-30000403","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","ATEX category","CFIHOS-40000009",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","ATEX explosive atmosphere","CFIHOS-40000010",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","ATEX group","CFIHOS-40000011",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","calibration range","CFIHOS-40000634",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","explosion protection concept","CFIHOS-40000108",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","explosion protection examination certificate number","CFIHOS-40000109",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","explosion protection gas group","CFIHOS-40000110",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","explosion protection notified body","CFIHOS-40000111",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","fault tolerance","CFIHOS-40000635",,,,,"ISO 14224:2016",,,"STANDARD","CR0028;FR37","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity level transmitter","CFIHOS-30000404","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","ATEX category","CFIHOS-40000009",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","ATEX explosive atmosphere","CFIHOS-40000010",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","ATEX group","CFIHOS-40000011",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","calibration range","CFIHOS-40000634",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","explosion protection concept","CFIHOS-40000108",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","explosion protection examination certificate number","CFIHOS-40000109",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","explosion protection gas group","CFIHOS-40000110",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","explosion protection notified body","CFIHOS-40000111",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","fault tolerance","CFIHOS-40000635",,,,,"ISO 14224:2016",,,"STANDARD","CR0028;FR37","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conductivity transmitter","CFIHOS-30000325","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","ATEX category","CFIHOS-40000009",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","ATEX explosive atmosphere","CFIHOS-40000010",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","ATEX group","CFIHOS-40000011",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","explosion protection concept","CFIHOS-40000108",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","explosion protection examination certificate number","CFIHOS-40000109",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","explosion protection gas group","CFIHOS-40000110",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","explosion protection notified body","CFIHOS-40000111",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","explosion protection temperature class","CFIHOS-40000112",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","explosion protection zone","CFIHOS-40000113",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"contactor","CFIHOS-30000326","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","ATEX category","CFIHOS-40000009",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","ATEX explosive atmosphere","CFIHOS-40000010",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","ATEX group","CFIHOS-40000011",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","explosion protection concept","CFIHOS-40000108",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","explosion protection examination certificate number","CFIHOS-40000109",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","explosion protection gas group","CFIHOS-40000110",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","explosion protection notified body","CFIHOS-40000111",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control box","CFIHOS-30000405","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","ATEX category","CFIHOS-40000009",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","ATEX explosive atmosphere","CFIHOS-40000010",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","ATEX group","CFIHOS-40000011",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","explosion protection concept","CFIHOS-40000108",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","explosion protection examination certificate number","CFIHOS-40000109",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","explosion protection gas group","CFIHOS-40000110",,,,,"ASME B31.3 - 2020;IEC 60537:1976 Withdrawn;ISO 14224:2016",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","explosion protection notified body","CFIHOS-40000111",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60537:1976 Withdrawn;ISA-TR20.00.01-2007;ISO 14224:2016",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","explosion protection zone","CFIHOS-40000113",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","rated current","CFIHOS-40000521",,,"AMP","AMP",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control module","CFIHOS-30000022","rated voltage","CFIHOS-40000528",,,"VLT","VLT",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","ATEX category","CFIHOS-40000009",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","ATEX explosive atmosphere","CFIHOS-40000010",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","ATEX group","CFIHOS-40000011",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","explosion protection concept","CFIHOS-40000108",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","explosion protection examination certificate number","CFIHOS-40000109",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","explosion protection gas group","CFIHOS-40000110",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","explosion protection notified body","CFIHOS-40000111",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"control panel","CFIHOS-30000327","rated voltage","CFIHOS-40000528",,,"VLT","VLT",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","body material","CFIHOS-40000017",,,,,"ISO 23251:2019;ISO 28300:2008",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","disc material","CFIHOS-40000077",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","handle reset","CFIHOS-40000594",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","inlet connection type","CFIHOS-40000586",,,,,"API Std 526:2017",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","orifice area","CFIHOS-40000517",,,"MMK","INK","ISO 28300:2008;ISO 23251:2019",,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","outlet connection type","CFIHOS-40000587",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","pressure rating","CFIHOS-40000591",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","rated volume flow rate","CFIHOS-40000333",,,"MQH","G2",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","seat leakage class","CFIHOS-40000592",,,,,"IEC 60534-4:2006;FCI 70-2-2021,ANSI/ISA-84.00.01-2004 Part 1",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","seat material","CFIHOS-40000595",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"conventional relief valve","CFIHOS-30000815","set pressure","CFIHOS-40000530",,,"BRG","64","ISO 23251:2019;ISO 28300:2008",,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","ATEX category","CFIHOS-40000009",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","ATEX explosive atmosphere","CFIHOS-40000010",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","ATEX group","CFIHOS-40000011",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","explosion protection concept","CFIHOS-40000108",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","explosion protection examination certificate number","CFIHOS-40000109",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","explosion protection gas group","CFIHOS-40000110",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","explosion protection notified body","CFIHOS-40000111",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","explosion protection temperature class","CFIHOS-40000112",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","explosion protection zone","CFIHOS-40000113",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow element","CFIHOS-30000023","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","ATEX category","CFIHOS-40000009",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","ATEX explosive atmosphere","CFIHOS-40000010",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","ATEX group","CFIHOS-40000011",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","explosion protection concept","CFIHOS-40000108",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","explosion protection examination certificate number","CFIHOS-40000109",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","explosion protection gas group","CFIHOS-40000110",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","explosion protection notified body","CFIHOS-40000111",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"coriolis mass flow meter","CFIHOS-30000406","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"corrosion element","CFIHOS-30000408","ATEX category","CFIHOS-40000009",,,,,,,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","ATEX explosive atmosphere","CFIHOS-40000010",,,,,,,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","ATEX group","CFIHOS-40000011",,,,,,,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","explosion protection concept","CFIHOS-40000108",,,,,,,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","explosion protection examination certificate number","CFIHOS-40000109",,,,,,,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","explosion protection gas group","CFIHOS-40000110",,,,,"IEC 60529:2013",,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","explosion protection material group","CFIHOS-40000612",,,,,,,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","explosion protection notified body","CFIHOS-40000111",,,,,,,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"TERMINATED","CR0028;CR0029","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion element","CFIHOS-30000408","ingress protection","CFIHOS-40000173",,,,,,,,"TERMINATED","CR0028;CR0029","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"corrosion meter","CFIHOS-30000407","ATEX category","CFIHOS-40000009",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"corrosion meter","CFIHOS-30000407","ATEX explosive atmosphere","CFIHOS-40000010",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"corrosion meter","CFIHOS-30000407","ATEX group","CFIHOS-40000011",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"corrosion meter","CFIHOS-30000407","explosion protection concept","CFIHOS-40000108",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"corrosion meter","CFIHOS-30000407","explosion protection examination certificate number","CFIHOS-40000109",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
