"property name","property definition","property data type","property data type length","unit of measure dimension code","picklist name","CFIHOS unique id","reason for having property","synonym","created date","modified date","terminated date","change request number","status"
"downcomer material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000081",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"downcomer number of tubes","Is a number of items where each item is a tube.","Number",,,,"CFIHOS-40000082",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"downcomer outside diameter","Is an outside diameter of an item that is the prime outside diameter in case the item has more than one outside diameter.","Number",,,,"CFIHOS-40000083",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"downcomer wall thickness","Is a thickness according to a design.","Number",,,,"CFIHOS-40000084",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"driven unit normal operating shaft power","The shaft power under rated conditions for the equipment which is driven by the functional or physical object.","Number",,,,"CFIHOS-40000085",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"driven unit normal speed","The rotational speed which is the normal operating speed for the equipment which is driven  by the functional or physical object.","Number",,,,"CFIHOS-40000086",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"driver type","A general description of the device that produces the mechanical or electrical power that runs the equipment. For example diesel engine, electric motor, gas turbine etc.","Text",40,,"driver type","CFIHOS-40000087",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"duty of electronic power inverter","Specify the duty of the electronic power inverter.","Text",40,,"operation continuous intermittent","CFIHOS-40000088",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"duty of synchronous AC machines","Specify the duty of the synchronous AC machine.","Text",40,,"operation continuous intermittent","CFIHOS-40000089",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"economizer corrosion allowance","Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.","Number",,,,"CFIHOS-40000090",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"economizer effective outside surface area","Is an area located on a surface.","Number",,,,"CFIHOS-40000091",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"economizer material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000092",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"economizer number of tubes","Is a number of items where each item is a tube.","Number",,,,"CFIHOS-40000093",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"economizer tube length","Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.","Number",,,,"CFIHOS-40000094",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"economizer tube outside diameter","Is an outside diameter of an item that is the prime outside diameter in case the item has more than one outside diameter.","Number",,,,"CFIHOS-40000095",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"economizer wall thickness","Is a thickness according to a design.","Number",,,,"CFIHOS-40000096",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"electric generator cooling method","The method of cooling used by a electrical synchronous machine.","Text",40,,"electric generator cooling method","CFIHOS-40000097",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"bearing lubrication","The method of lubrication of the bearings.","Text",40,,"electric motor bearing lubrication","CFIHOS-40000098",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0028","STANDARD"
"electric motor cooling method","The method of cooling used by a electric motor.","Text",40,,"electric motor cooling method","CFIHOS-40000099",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"electrical plug type","Specify the type of electrical plug.","Text",40,,"electrical plug type","CFIHOS-40000100",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"electrical transformer type","The insulation medium used inside the physical object.","Text",40,,"electrical transformer type","CFIHOS-40000101",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"emergency upper limit design temperature","The maximum temperature that can be reached under unintended, but possible, emergency conditions other than external fires.","Number",,,,"CFIHOS-40000102",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"end connections","Is the fittings by means of which expansion joints are connected to the piping system or to equipment.","Text",40,,"end connections","CFIHOS-40000103",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"erosive liquid","Specify if the liquid contains erosive agents.","Boolean",3,,,"CFIHOS-40000104",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"estimated equivalent length","The virtual length of the functional or physical object that would produce the same pressure drop than the real object.","Number",,,,"CFIHOS-40000105",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"estimated length","The estimated length of the functional or physical object. Can be used to estimate the weight of the object.","Number",,,,"CFIHOS-40000106",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"expansion joint type","Is a subtype of expansion joint","Text",40,,"expansion joint type","CFIHOS-40000107",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"explosion protection concept","Specify the identification of electrical equipment's explosion protection and type of ignition protection in accordance with IEC/EN 60079-0.","Text",40,,"explosion protection concept","CFIHOS-40000108",,,"2017-02-15T19:47:29.464Z","2021-10-14T10:06:14.724Z",,"V1.2","STANDARD"
"explosion protection examination certificate number","The examination certificate number for the physical object issued by a notified body.","Text",40,,"explosion protection examination certificate number","CFIHOS-40000109",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"explosion protection gas group","Specify the gas group classification of the physical object in accordance with IEC/EN 60079-20","Text",40,,"explosion protection gas group","CFIHOS-40000110",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"explosion protection notified body","The name of the nationally accredited approval body that has issued the examination certificate for the physical object.","Text",40,,"explosion protection notified body","CFIHOS-40000111",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"explosion protection temperature class","Specify the temperature classification of the physical object in accordance with CENELEC EN50014","Text",40,,"explosion protection temperature class","CFIHOS-40000112",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"explosion protection zone","Specify the hazardous zone in which the functional or physical object is expected to operate.","Text",40,,"zone","CFIHOS-40000113",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"external insulation type","The type of insulation of a functional or physical object.","Text",40,,"insulation type","CFIHOS-40000114",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"external maximum allowable working pressure new and cold","Is an allowable operating pressure that is the maximum pressure to which a container is allowed to be exposed during operating conditions when the item is new and cold.","Number",,,,"CFIHOS-40000115",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"external operating pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000116",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"external operating temperature","Is a temperature that occurs during operation or under which an object is supposed to operate.","Number",,,,"CFIHOS-40000117",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"external test pressure","The pressure to which a functional or physical object should be subjected to test for leakage and structural integrity.","Number",,,,"CFIHOS-40000118",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"external upper limit design pressure","The highest pressure at which a functional or physical object is designed for.","Number",,,,"CFIHOS-40000119",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"extraction of steam controlled","Specifies if the extraction of the steam is controlled with a valve, or left uncontrolled.","Boolean",3,,,"CFIHOS-40000120",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"finned outside surface area","Is an area located on a surface.","Number",,,,"CFIHOS-40000121",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"flammable liquid","Specifies if the liquid is flammable.","Boolean",3,,,"CFIHOS-40000122",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"flanges material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000123",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"floating roof seal type","Specify the type of seal for a floating roof for the functional or physical tank.","Text",40,,"floating roof seal type","CFIHOS-40000124",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"floor material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000125",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"flowline type","The purpose of a flow line. For example 'gas production', oil production', 'water injection', 'gas injection' etc.","Text",40,,"flowline type","CFIHOS-40000126",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"flue gas duct height","The maximum height of a functional or physical object above its base when installed.","Number",,,,"CFIHOS-40000127",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"flue gas duct lining material","Is a material of construction of which a lining is made.","Text",40,,"lining material","CFIHOS-40000128",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"flue gas ducting material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000129",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"flue gas ducting material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000130",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"flue gas ducting thickness","Is a thickness according to a design.","Number",,,,"CFIHOS-40000131",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"fluid name","The name of the product in liquid or gas phase.","Text",100,,"fluid","CFIHOS-40000132",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"fluid phase","Specify if the fluid is in liquid, gas or both phases.","Text",40,,"fluid phase","CFIHOS-40000133",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"frame size","Dimensions and output series for rotating electrical machines in conformity with IEC 60072","Text",40,,,"CFIHOS-40000134",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"fuel type","The type of fuel required by an equipment item. For example 'fuel gas, diesel etc.","Text",40,,"fuel type","CFIHOS-40000135",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"full vacuum","Specifies if the internal of the functional or physical object can have an extremely low gas pressure relative to the surrounding pressure.","Boolean",3,,,"CFIHOS-40000136",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"gas analysed","The chemical symbols of the gases/chemicals that the detector/analyser is capable of detecting. Chemical symbols are preferred to actual names.","Text",40,,,"CFIHOS-40000137",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"gas turbine type","Specify whether the turbine is an aero derivative turbine or an industrial turbine type.","Text",40,,"turbine type","CFIHOS-40000138",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"gas turbine waste heat utilization","Specify if the functional or physical object is equipped with an exhaust heat recovery system.","Boolean",3,,,"CFIHOS-40000139",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"gear box type","Specify whether the gearbox is intended to increase or decrease the speed, or both.","Text",40,,"gearbox type","CFIHOS-40000140",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"gearwheel type","A general description of the construction of the gear wheels in an equipment item.","Text",40,,"gear wheel type","CFIHOS-40000141",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"H2S concentration","Specifies the level of H2S in the fluid.","Number",,,,"CFIHOS-40000142",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"head corrosion allowance","Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.","Number",,,,"CFIHOS-40000144",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"head external corrosion allowance","Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.","Number",,,,"CFIHOS-40000145",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"head internal corrosion allowance","Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.","Number",,,,"CFIHOS-40000146",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"head lining material","Is a material of construction of which a lining is made.","Text",40,,"lining material","CFIHOS-40000147",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"head material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000148",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"head material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000149",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"head number of passes","Is a number of items where each item is a tube pass.","Number",,,,"CFIHOS-40000150",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"head wall thickness","Is a thickness according to a design.","Number",,,,"CFIHOS-40000151",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"head weld joint efficiency","Is a joint efficiency factor that is a correction factor for the strength of a weld dependent on the type and percentage examination. Its value is 1 in case of 100% radiographic examination.","Number",,,,"CFIHOS-40000152",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"heat regulation method","Is the heater self-regulating or non-self regulating?","Text",40,,"heat regulation method","CFIHOS-40000153",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"heat tracing method","Is a subtype of tracing","Text",40,,"tracing type","CFIHOS-40000154",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"heating coil number of tubes","Is a number of items where each item is a tube.","Number",,,,"CFIHOS-40000155",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"helper drive","Specify if the functional or physical object is equipped with a helper driver, to accelerate the functional or physical object into self sustaining speed and remain coupled during operation to provide supplementary shaft power.","Boolean",3,,,"CFIHOS-40000156",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"high frequency capacitance","The capacitance presented to sources such as: harmonics, switching surges and transients.","Number",,,,"CFIHOS-40000157",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot oil flushing","Specify if the functional or physical object has hot oil flushing functionality.","Boolean",3,,,"CFIHOS-40000158",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"hot side fluid name","The name of the product in liquid or gas phase.","Text",100,,"fluid","CFIHOS-40000159",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"hot side maximum allowable working pressure new and cold","Is an allowable operating pressure that is the maximum pressure to which a container is allowed to be exposed during operating conditions when the item is new and cold.","Number",,,,"CFIHOS-40000160",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot side minimum design metal temperature","Is a temperature that is the lowest at which a significant load can be applied. Typically applied to a pressure vessel. Defined by the ASME Code, Section VIII, Division 1, paragraph UG-20 (see Section 3).","Number",,,,"CFIHOS-40000161",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot side normal operating inlet pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000162",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot side normal operating outlet pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000163",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot side number of passes","Is a number of items where each item is a tube pass.","Number",,,,"CFIHOS-40000164",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot side test medium","The medium used for testing purpose.","Text",40,,"test medium","CFIHOS-40000165",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"hot side test pressure","The pressure to which a functional or physical object should be subjected to test for leakage and structural integrity.","Number",,,,"CFIHOS-40000166",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot side upper limit design pressure","The highest pressure at which a functional or physical object is designed for.","Number",,,,"CFIHOS-40000167",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot side upper limit operating inlet temperature","Is a temperature that occurs during operation or under which an object is supposed to operate.","Number",,,,"CFIHOS-40000168",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot side upper limit operating temperature","The temperature which is the highest temperature at which a functional or physical object is expected to operate.","Number",,,,"CFIHOS-40000169",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hot side upper limit operating outlet temperature","Is a temperature that occurs during operation or under which an object is supposed to operate.","Number",,,,"CFIHOS-40000170",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"hydraulic oil type","The type of hydraulic oil in an equipment item.","Text",40,,,"CFIHOS-40000171",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"immersed","Specify if the functional or physical object can be immersed or not.","Boolean",3,,,"CFIHOS-40000172",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"ingress protection","Specify the degree of ingress protection for the physical object in accordance with IEC/EN 50629 or NEMA, UL and CSA type rating.","Text",40,,"ingress protection","CFIHOS-40000173",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"inlet flange rating","Is a possessed aspect being a design pressure of a flange.","Text",40,,"flange rating","CFIHOS-40000174",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"inspection","Is a quality of belonging to a category that is subject to a kind of inspection.","Text",40,,"inspection","CFIHOS-40000175",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"Inspection authority","Is a agency that is intended to issue or verify adherence to regulations.","Text",40,,,"CFIHOS-40000176",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"insulation class","The class of electrical insulation used by a  physical object.","Text",40,,"electrical insulation class","CFIHOS-40000177",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"insulation code","Specify insulation code, handbook or industry practice.","Text",40,,,"CFIHOS-40000178",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"insulation type","The type of insulation of a functional or physical object.","Text",40,,"insulation type","CFIHOS-40000179",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"intermediate section inside diameter","Is an inside diameter of an item that is the prime inside diameter in case the item has more than one inside diameter.","Number",,,,"CFIHOS-40000180",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"intermediate section length","Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.","Number",,,,"CFIHOS-40000181",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"intermediate section lower limit operating pressure","Is a pressure that is a minimum possible or allowed or occurring or required.","Number",,,,"CFIHOS-40000182",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"intermediate section lower limit operating temperature","The temperature which is the lowest temperature at  which a functional or physical object is expected to operate.","Number",,,,"CFIHOS-40000183",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"intermediate section normal operating pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000184",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"intermediate section normal operating temperature","The temperature at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000185",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"intermediate section upper limit operating temperature","The temperature which is the highest temperature at which a functional or physical object is expected to operate.","Number",,,,"CFIHOS-40000186",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"internal insulation type","The type of insulation of a functional or physical object.","Text",40,,"insulation type","CFIHOS-40000187",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"internal maximum allowable working pressure new and cold","Is an allowable operating pressure that is the maximum pressure to which a container is allowed to be exposed during operating conditions when the item is new and cold.","Number",,,,"CFIHOS-40000188",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"internal operating pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000189",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"internal operating temperature","Is a temperature that occurs during operation or under which an object is supposed to operate.","Number",,,,"CFIHOS-40000190",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"internal test pressure","The pressure to which a functional or physical object should be subjected to test for leakage and structural integrity.","Number",,,,"CFIHOS-40000191",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"internal upper limit design pressure","The highest pressure at which a functional or physical object is designed for.","Number",,,,"CFIHOS-40000192",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"internals material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000193",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"internals material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000194",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"interrupting medium","The medium which helps in extinguishing the arc created during operation of a physical object. For example air, vacuum, gas, oil.","Text",40,,"interrupting medium","CFIHOS-40000195",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"jacket normal operating pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000196",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"jacket normal operating temperature","The temperature at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000197",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"junction box construction material","Material used in construction of the junction box.","Text",40,,"junction box construction material","CFIHOS-40000198",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"lamp type","Specify the type of lamp used as light source in a physical object.","Text",40,,"lamp type","CFIHOS-40000199",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"legal registration number","Registration for legal reasons.","Text",40,,,"CFIHOS-40000200",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"length","Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.","Number",,,,"CFIHOS-40000201",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"line pipe material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000202",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"lining material","Is a material of construction of which a lining is made.","Text",40,,"lining material","CFIHOS-40000203",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"liquid hazardous category","The hazardous category of the liquid according to an agreed reference standard.","Text",40,,"liquid hazardous category","CFIHOS-40000204",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"liquid name","The name of the product in liquid phase.","Text",40,,,"CFIHOS-40000205",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"lower limit ambient operating temperature","The temperature which is the lowest ambient temperature at  which a functional or physical object is expected to operate.","Number",,,,"CFIHOS-40000206",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"lower limit operating discharge pressure","The discharge pressure which is the lowest pressure at which a functional or physical object is expected to operate","Number",,,,"CFIHOS-40000207",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"lower limit operating extraction steam mass flow rate","The mass flow rate which is the lowest extraction steam mass flowrate at which a functional or physical object is expected to operate.","Number",,,,"CFIHOS-40000208",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
