"picklist name","picklist value","picklist value description","CFIHOS unique id","source standard code","created date","modified date","terminated date","change request number","status"
"coating material","polyethylene","A flexible, waxy translucent thermoplastic","CFIHOS-60000973",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"coating material","polystyrene",,"CFIHOS-60000977",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"coating material","polyurethane","A plastic which is a range of resins, both thermoplastic and thermosetting, based on the reaction of di-isocyantes with dihydric, alcohols, polyesters or polyethers.","CFIHOS-60000979",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"coating material","silicone","A periodic system element with 14 protons in its nucleus","CFIHOS-60001201",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"coating material","urethane",,"CFIHOS-60001318",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"coating material","vinyl",,"CFIHOS-60001332",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"coding source","ISO 15926 part4","A standard for data integration, sharing, exchange and hand-over between computer system in the process industry","CFIHOS-60001645",,"2018-12-10T17:46:29.060Z","2021-10-12T15:02:03.835Z",,"CR0020;FR69","STANDARD"
"coding source","POSC CAESAR","An organization promoting standards for interoperability of data","CFIHOS-60001647",,"2018-12-10T17:46:29.060Z","2021-10-12T15:02:03.835Z",,"CR0020;FR69","STANDARD"
"coding source","STEPLIB","Standard Template for Electronic Publishing","CFIHOS-60001646",,"2018-12-10T17:46:29.060Z","2021-10-12T15:02:03.835Z",,"CR0020","STANDARD"
"coding source","UNSPSC","United Nations Standard Products and Services Classification","CFIHOS-60001648",,"2018-12-10T17:46:29.060Z","2021-10-12T15:02:03.835Z",,"CR0020;FR69","STANDARD"
"communication protocol","FF","Foundation Fieldbus","CFIHOS-60001736",,"2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"communication protocol","HART","HART","CFIHOS-60001735",,"2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"communication protocol","Profibus","Profibus","CFIHOS-60001737",,"2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"cooling on","stuffing box","A seal that utilizes several coils of woven material pressed lightly against the rotating shaft to provide a minimal leakage path between the shaft and casing.","CFIHOS-60001254",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"cooling type","forced circulation",,"CFIHOS-60000515",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"cooling type","kettle",,"CFIHOS-60000738",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"cooling type","thermosyphon",,"CFIHOS-60001294",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"coupling type","disconnect",,"CFIHOS-60000379","ISO 14224:2016","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"coupling type","flexible","A power transmission coupling used to connect two co-axial shafts in which perfectly rigid alignment is impossible; the torque is transmitted from one flange to another through a resilient member or by gear teeth which also allows a limited end float.","CFIHOS-60000507","ISO 14224:2016","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"coupling type","hydraulic",,"CFIHOS-60000570","ISO 14224:2016","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"coupling type","magnetic","An induction coupling in which the secondary currents are induced in wound or cage windings.","CFIHOS-60000789","ISO 14224:2016","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"coupling type","rigid",,"CFIHOS-60001052","ISO 14224:2016","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"crane type","gantry crane",,"CFIHOS-60000536",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"crane type","jib crane",,"CFIHOS-60000727",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"crane type","mobile crane","A 'crane' that consists of a 'truss' or telescopic boom mounted on a mobile platform - be it on road, rail or water.","CFIHOS-60000811",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"crane type","overhead crane","A crane where the hook and line mechanism runs along a horisontal beam that runs along two widely separated rails.","CFIHOS-60000906",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"crane type","pedestal crane","A crane that is mounted on top of a stationary, raised foundation (base, column, pillar).","CFIHOS-60000936",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"crane type","travelling crane",,"CFIHOS-60001297",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"cycle","regenerative",,"CFIHOS-60001046",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"cycle","simple",,"CFIHOS-60001203",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"cylinder head cooling method type","forced",,"CFIHOS-60000514",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"cylinder head cooling method type","none (air-cooled)",,"CFIHOS-60000873",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"data type","Boolean","A mathematical value which indicates whether something is the case or not.","CFIHOS-60000243",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"data type","Date",,"CFIHOS-60000362",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"data type","Number",,"CFIHOS-60000881",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"data type","Text","A class of information representation that is a sequence of characters which can be understood by a person, and that include structuring and formatting information as required","CFIHOS-60001289",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"deliverable format","PDF","Portable Document Format (PDF) to be electronically developed and must be in Optical Character Recognition (OCR) format which is text searchable and indexed.  Embedded graphics in Joint Photographic Experts Groups (JPEG), Graphic Interchange Format (GIF) (suitably compressed) or Tagged Image File Format (TIFF) formats may be allowed but be exception only and with Purchaser’s written approval.","CFIHOS-60002312",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR74","STANDARD"
"deliverable format","hard copy","should be electronically developed, but in particular and exceptional circumstances, say for legal reasons, may need to be handed over in printed paper format","CFIHOS-60002310",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR74","STANDARD"
"deliverable format","intelligent vector (CAD)","Intelligent vector drawing like CAD","CFIHOS-60002313",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR74","STANDARD"
"deliverable format","multi media (film)","Multi media like Film, Microfiche, Video, Sound","CFIHOS-60002314",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR74","STANDARD"
"deliverable format","native","To be electronically developed and must be retained in the original application software format, with no embedded or linked files.","CFIHOS-60002311",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR74","STANDARD"
"deliverable format","raster image (bitmap)","Raster image like a bitmap","CFIHOS-60002315",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR74","STANDARD"
"deliverable format","structured data (MA apps)","Structured Data like CSV file, MS-access, MS- Excel, Application Database","CFIHOS-60002316",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR74","STANDARD"
"deliverable format","technical publication (text)","Technical publication or Text","CFIHOS-60002317",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR74","STANDARD"
"direction of rotation","alternating","Changing of occurrence or succession by turns","CFIHOS-60000196",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"direction of rotation","clockwise",,"CFIHOS-60000314",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"direction of rotation","counterclockwise",,"CFIHOS-60000331",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"document and data requirement group","contract management information deliverables","Contract Management Information Requirements","CFIHOS-60002248",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"document and data requirement group","purchase order specific information Requirements","Purchase Order Specific Information Requirements","CFIHOS-60002249",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"document and data requirement group","technical information deliverables","Technical Information Requirements","CFIHOS-60002250",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"document and data requirement type","Design","Document content generated during the design activity","CFIHOS-60002246",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"document and data requirement type","Equipment","Document content generated by the equipment manufacturer","CFIHOS-60002247",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"document format","ASCII text",,"CFIHOS-60000208",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","AVI file",,"CFIHOS-60000211",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","AutoCAD",,"CFIHOS-60000210",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","E-spir",,"CFIHOS-60000464",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","HYSIS",,"CFIHOS-60000600",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","JPG file",,"CFIHOS-60000729",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","MS-Access",,"CFIHOS-60000818",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","MS-Excel",,"CFIHOS-60000819",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","MS-Excel or MS-Access",,"CFIHOS-60000820",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR27","TERMINATED"
"document format","MS-Powerpoint",,"CFIHOS-60000822",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","MS-Project",,"CFIHOS-60000823",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","MS-Visio",,"CFIHOS-60000824",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","MS-Word",,"CFIHOS-60000825",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","MS-Word Or MS-Excel",,"CFIHOS-60000826",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR27","TERMINATED"
"document format","Microstation",,"CFIHOS-60000804",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","Native",,"CFIHOS-60000835",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR27","TERMINATED"
"document format","PDF",,"CFIHOS-60000933",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","PDMS Intergraph",,"CFIHOS-60000934",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","PDS Aveva",,"CFIHOS-60000935",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","Piping ISO",,"CFIHOS-60000949",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR27","TERMINATED"
"document format","Primavera",,"CFIHOS-60000987",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","Rich Text Format",,"CFIHOS-60001051",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","SPI-Data",,"CFIHOS-60001231",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR27","TERMINATED"
"document format","Smartsketch Intergraph",,"CFIHOS-60001218",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document format","TIFF file",,"CFIHOS-60001295",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","FR69;FR27","TERMINATED"
"document master review type","For Information",,"CFIHOS-60000604",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z","2021-10-12T15:02:03.835Z","CR0003","TERMINATED"
"driver type","hydraulic motor","A motor that is intended to generate power by means of high pressure oil.","CFIHOS-60000571",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"driver type","petrol engine","An internal combustion engine that is an induction compression ignition exhaust engine which ignites a petrol air mixture with an electric spark.","CFIHOS-60000942",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"driver type","pneumatic motor","A motor that is driven by compressed gas. Typically air.","CFIHOS-60000965",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"driver type","steam turbine","A turbine that is a heat engine in which energy of steam is transformed into kinetic energy by means of expansion through nozzles and the kinetic energy of the resulting jet is in turn converted into force doing work on rings of blading mounted on a rotating shaft.","CFIHOS-60001245","ISO 10437:2003","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"driver type","turbo expander","An expander where the fluid is gas.","CFIHOS-60001302",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"driver type","wind turbine",,"CFIHOS-60001372",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electric generator cooling method","IC 5A1A1",,"CFIHOS-60000612",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"fluid","Hydrocarbons + benzene or butadiene",,"CFIHOS-60000572",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons + hydrogen with H2S",,"CFIHOS-60000573",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons + hydrogen with or without wet H2S; > 1% benzene",,"CFIHOS-60000574",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons corrosive",,"CFIHOS-60000575",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons liquids",,"CFIHOS-60000576",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons liquids, sour",,"CFIHOS-60000577",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons non corrosive",,"CFIHOS-60000578",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons non corrosive, not corrosion inhibited",,"CFIHOS-60000579",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons non sour, non corrosive",,"CFIHOS-60000580",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons sour",,"CFIHOS-60000581",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons sour, corrosive",,"CFIHOS-60000582",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons sweet",,"CFIHOS-60000583",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons wet; with H2",,"CFIHOS-60000584",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons with H2",,"CFIHOS-60000585",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons with sulfur and/or naphthenic acids",,"CFIHOS-60000586",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons with wet H2S",,"CFIHOS-60000587",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons without wet H2S",,"CFIHOS-60000588",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons, mildly abrasive particles loaded sour",,"CFIHOS-60000589",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrocarbons, mildly abrasive particles loaded sour, corrosive",,"CFIHOS-60000590",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrochloric acid (Hydrogen chloride) anhydrous",,"CFIHOS-60000591",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"fluid","Hydrochloric acid (Hydrogen chloride) anhydrous; concentration < 20%",,"CFIHOS-60000592",,"2018-04-06T15:43:45.693Z","2021-10-12T15:02:03.835Z",,"CR0003","STANDARD"
"electric generator cooling method","IC 6A1A1",,"CFIHOS-60000613",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electric generator cooling method","IC 6A1A6",,"CFIHOS-60000615",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electric generator cooling method","IC 8A1W7",,"CFIHOS-60000617",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electric motor bearing lubrication","grease","A compound which is a sticky emulsion made of soap, clay, mineral oil or synthetic substances for the purpose of serving as a lubricant.","CFIHOS-60000556",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"electric motor bearing lubrication","oil","An aggregate consisting of hydrocarbons and possibly other aggregates.","CFIHOS-60000884",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"electric motor cooling method","IC 4A1A1",,"CFIHOS-60000611",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electric motor cooling method","IC 6A1A1",,"CFIHOS-60000614",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electric motor cooling method","IC 6A1A6",,"CFIHOS-60000616",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electric motor cooling method","IC 8A1W7",,"CFIHOS-60000618",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electrical insulation class","A (105 DegC)",,"CFIHOS-60000090","IEC 60034-1:2017","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electrical insulation class","B (130 DegC)",,"CFIHOS-60000213","IEC 60034-1:2017","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electrical insulation class","E (120 DegC)",,"CFIHOS-60000402","IEC 60034-1:2017","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electrical insulation class","F (155 DegC)",,"CFIHOS-60000497","IEC 60034-1:2017","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electrical insulation class","H (180 DegC)",,"CFIHOS-60000561","IEC 60034-1:2017","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electrical plug type","Domestic",,"CFIHOS-60000382",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electrical plug type","Industrial",,"CFIHOS-60000640",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electrical transformer type","dry",,"CFIHOS-60000388",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"electrical transformer type","oil filled",,"CFIHOS-60000887",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"end connections","butt weld",,"CFIHOS-60000249",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"end connections","flanged","A pipe end that has the shape of a circular plate with holes to make a bolted connection.","CFIHOS-60000504",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"end connections","lap flange","A pipe flange that is intended to be used with stub ends.","CFIHOS-60000751",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"engineering status code","AFC","Approved for Construction","CFIHOS-60001414",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"engineering status code","AFD","Approved for Detail Design","CFIHOS-60001416",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"engineering status code","ASB","As Built","CFIHOS-60001418",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"entrainment","liquids",,"CFIHOS-60000774",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"entrainment","no",,"CFIHOS-60000860",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"entrainment","solids",,"CFIHOS-60001226",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"event type","D","Delivery","CFIHOS-60002252",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"event type","F","Fabrication","CFIHOS-60002255",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"event type","I","Inspection","CFIHOS-60002253",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"event type","O","Order","CFIHOS-60002251",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"event type","T","Test","CFIHOS-60002254",,"2021-10-05T05:11:14.289Z","2021-10-12T15:02:03.835Z",,"FR14","STANDARD"
"expansion joint type","angular",,"CFIHOS-60000201","ISO 15348:2002","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"expansion joint type","axial",,"CFIHOS-60000212","ISO 15348:2002","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"expansion joint type","lateral",,"CFIHOS-60000753","ISO 15348:2002","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"expansion joint type","universal",,"CFIHOS-60001312","ISO 15348:2002","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"explosion protection concept","EEX em[ib]",,"CFIHOS-60000418","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"explosion protection concept","EEx d",,"CFIHOS-60000404","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"explosion protection concept","EEx d[ia]",,"CFIHOS-60000405","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"explosion protection concept","EEx d[ib]",,"CFIHOS-60000406","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"explosion protection concept","EEx de",,"CFIHOS-60000407","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"explosion protection concept","EEx de[ia]",,"CFIHOS-60000408","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"explosion protection concept","EEx de[ib]",,"CFIHOS-60000409","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"explosion protection concept","EEx dem",,"CFIHOS-60000410","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"explosion protection concept","EEx e",,"CFIHOS-60000411","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"explosion protection concept","EEx e[ia]",,"CFIHOS-60000412","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"explosion protection concept","EEx e[ib]",,"CFIHOS-60000413","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"explosion protection concept","EEx ed",,"CFIHOS-60000414","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"explosion protection concept","EEx edm",,"CFIHOS-60000415","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
"explosion protection concept","EEx edqib",,"CFIHOS-60000416","EN 60079-0:2018","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"V1.2","STANDARD"
