"source standard code","source standard doc and data req number","source standard doc and data req title","source standard doc and data req typical deliverable","source standard doc and data req description","source standard doc and data req comment","document and data requirement type code","document and data requirement group code","engineering standard source chapter","discipline code","document type short code","default submit at proposal indicator","default submit for review indicator","default submit at delivery indicator","default issue for review number of weeks","default issue for review reference date","default issue for approval number of weeks","default issue for approval reference date","default for information number of weeks","default for information reference date","default required handover status code","default required translation indicator","deliverable format code","CFIHOS unique id","status","change request number","created date","modified date","terminated date"
"IOGP S-562:2019","S-562#11","Fire type-test certificate","fire type-test certificate","Fire test certificates are required to be provided where required by Purchase Order and / or statutory requirements.",,"equipment","technical information deliverables","S-562, Table J4, 12",,,"no","yes","yes",,,,,,"WAT","AFD","no",,"CFIHOS-68000171","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#12","Calibration certificates","calibration certificates","Calibration certificates on pressure test equipment used (e.g. pressure gauges, transducers, and chart recorders)",,"equipment","technical information deliverables","S-562, Table J4, 13",,,"no","yes","yes",,,,,,"WAT","AFD","no",,"CFIHOS-68000172","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#13","Heat-treatment records","material certificates","Heat-treatment records including times and temperatures, e.g. charts",,"equipment","technical information deliverables","S-562, Table J4, 14",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000173","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#14","Hardness test report (pressure-controlling parts)","material certificates","For sour service valves, certificate of conformance to ANSI/NACE MR0175/ISO 15156",,"equipment","technical information deliverables","S-562, Table J4, 15",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000174","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#15","Hardness test report (pressure-containing parts)","material certificates","Hardness test report on pressure-containing and pressure-controlling parts welds in valves required to meet NACE MR0175/ISO 15156 (all parts) or NACE MR0103.",,"equipment","technical information deliverables","S-562, Table J4, 16",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000175","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#16","Hardness survey test report (sour service)","material certificates","Hardness survey test report on pressure-containing and pressure-controlling welds in valves required to meet NACE MR0175/ISO 15156 (all parts) or NACE MR0103.",,"equipment","technical information deliverables","S-562, Table J4, 17",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000176","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#17","Metallic materials pressure-containing and pressure-controlling parts certificates.","material certificates","Certificate confirming that metallic material meets grade data",,"equipment","technical information deliverables","S-562, Table J4, 18",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000177","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#18","Metallic materials non-pressure-containing and non-pressure-controlling parts certificates.","material certificates","Certificate confirming that metallic material meets grade data",,"equipment","technical information deliverables","S-562, Table J4, 19",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000178","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#19","Non-metallic materials certificates","material certificates","Certificate confirming that non-metallic materials conform to requirements based on batch testing.",,"equipment","technical information deliverables","S-562, Table J4, 20",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000179","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#20","Weld repair documentation","weld repair documentation","Weld repair documentation including extent of repairs, repair weld maps, WPS, WPQ, PQR, post weld heat treatment and NDE following the repair(s).",,"equipment","technical information deliverables","S-562, Table J4, 21",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000180","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#21","Non-destructive examination records","non-destructive examination certificates","A) Radiography: Results of radiographic tests carried out and signed by a qualified technician. Detailed reports are to state order number, and to include the procedure used, code acceptance level and results obtained in accordance with specified standard",,"equipment","technical information deliverables","S-562, Table J4, 22",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000181","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#22","Inspection documents","dimensional report","Inspection documents on all pressure-containing (body, bonnet, closures, covers, bolting) and pressure-controlling parts (obturator, seats, stems, trunnions).",,"equipment","technical information deliverables","S-562, Table J4, 23",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000182","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#23","Pressure test report","factory acceptance and pressure test report and certificates","Pressure test report (including pressure, test duration, test medium, and acceptance criteria) including copy of chart recorder used on pressure test",,"equipment","technical information deliverables","S-562, Table J4, 24",,"9003","no","yes","yes",,,,,,"WAT","AFD","no",,"CFIHOS-68000183","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-20T06:15:45.029Z",
"IOGP S-562:2019","S-562#24","Fugitive emission test report","fugitive emission test report","The manufacturer will provide a fugitive emission test report in accordance with Annex V",,"equipment","technical information deliverables","S-562, Annex V",,,"no","yes","yes",,,,,,"WAT","AFD","no",,"CFIHOS-68000184","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#25","Certificate of conformance","certificate of conformance","The manufacturer will provide a Certificate of Conformance to the API specification and also the relevant IOGP supplementary Standard.",,"equipment","technical information deliverables","S-562, Table J4, 27",,"1401","no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000185","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#26","Certificate of conformance (Sour service)","certificate of conformance","The manufacturer will provide a certificate of conformance to ANSI/NACE MR0175/ISO 15156 or ISO17945/MR0103.",,"equipment","technical information deliverables","S-562, Table J4, 28",,"1401","no","yes","yes",,,,,,,"AFD","no",,"CFIHOS-68000186","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#27","Manufacturers valve data report","manufacturing records","The manufacturer will provide all required manufacturing records tabulated per item.",,"equipment","technical information deliverables","S-562, 13.1",,,"no","yes","yes",,,,,,"WAD","AFD","no",,"CFIHOS-68000187","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#28","Studded connection gasket certification","certificate of conformance","Certification for studded connection gaskets",,"equipment","technical information deliverables","S-562, 5.9.1, 6.9",,"1401","no","yes","yes",,,,,,"WAD","AFD","no",,"CFIHOS-68000188","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#29","Recommended spare parts list","spare parts list","Identified products which may require replacement are listed in a spare parts list identified and described so that the necessary spare, the whole item or parts can be obtained.The spare parts list includes:- reference to project documentation (e.g. dra",,"equipment","technical information deliverables",,,"4354","no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000189","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","IEC62271-1#01","General Arrangement details","general arrangement diagram","The manufacturer's standard general arrangement drawing showing overall dimensions and critical interface dimensions. The drawing contains references to main specifications and standards.  For equipment / components the drawing may include cross sectional",,"equipment","technical information deliverables","IEC62271-200 Clause 9.2",,"4018",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000190","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","IEC62271-1#02","Foundation and Installation details","installation drawing","The manufacturer's standard installation drawing showing;• Critical interface dimensions• Interface connections• Weight of assemblies, equipment and components• Centre of gravity• Withdrawal/installation and maintenance space.• Installation and moun",,"equipment","technical information deliverables","IEC62271-200 Clause 9.2",,,"no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000191","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-20T06:15:45.029Z",
"IOGP S-620:2018","IEC62271-1#03","Installation, Operation and Maintenance (IOM) Manual","installation , operation and maintenance (iom) manual","The manufacturer's standard IOM manual.This document includes sufficient information to install, operate and maintain the equipment.This document includes sufficient information for troubleshooting.If required a supplementary sheet can be added identif",,"equipment","technical information deliverables","IEC62271-1 Clause 11.4",,"3328, 4811, 4810","no","yes","yes",,,,,,"WPTD","AFD","yes",,"CFIHOS-68000192","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","IEC62271-1#04","Recommended Spare Part List (RSPL)","spare part list (rspl)","Identified products which may require replacement are listed in a spare parts list identified and described so that the necessary spare, the whole item or parts can be obtained.The spare parts list includes:- reference to project documentation (e.g. dra",,"equipment","technical information deliverables","S-620 Clause 5.0.104, IEC 62271-1 Clause 11.4",,"4354","no","yes","yes",,,,,,"WPTD","AFC","yes",,"CFIHOS-68000193","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","IEC62271-1#05","Lifting Equipment Test Certificate","test certificate","Lifting equipment test certificate in relation switchgear load certified hoist",,"equipment","technical information deliverables","S620 Clause 10.1.2",,,"no","yes","yes",,,,,,"WPTD","AFD","yes",,"CFIHOS-68000194","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","IEC62271-1#06","Weight Data Sheet","weight report","Document with weight of individual shipping sections",,"equipment","technical information deliverables","IEC62271-200 Clause 9.2",,"1448","no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000195","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","IEC62271-1#07","Routine Verification Test (FAT) Results","test report","This document records and documents all results from the activities performed in accordance with the FAT procedure. Include any observation rework retesting.",,"equipment","technical information deliverables","IEC 62271-1 Clause 8",,,,"yes","yes",,,,,,"WAT","AFC","yes",,"CFIHOS-68000196","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","IEC62271-200#02","Heat Dissipation Calculation & Loads","calculation","This document contains the calculation by the manufacturer to arrive at the heat load produced by the switchgear to enable HVAC sizing and includes load factors and type of load provided to the manufacturer to produce accurate calculation",,"equipment","technical information deliverables","S-620 Clause 9.2",,,"no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000197","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","IEC62271-200#03","Chemical Inventory and Material Safety Data Sheets","material safety data sheets","A structured form containing information on the safety, health and environmental protection aspects of the chemical, including protective measures andemergency actions.Safety Data Sheets (SDS) to be in accordance with local/national regulations and in t",,"equipment","technical information deliverables","IEC62271-1Clause 13",,"2107","no","yes","yes",,,,,,"WPTD","AFD","yes",,"CFIHOS-68000198","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#01","Supplier Master Information Schedule","information deliverables list","Schedule of specific information deliverables developed by the manufacturer and accepted by the user to meet the information requirements defined in the agreed Information Requirements Specification (IRS).The schedule typically defines; a) information d",,"equipment","contract management information deliverables","Contract Requirement","JA","6611","no","yes","yes",,,,,,"WAO","AFC","yes","native","CFIHOS-68000199","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#02","Delivery schedule","delivery/production schedule","Schedule depicting, as applicable to the service or product scope, design, supply, manufacture, inspection, testing and delivery activities to be executed by manufacturer/suppliers.Schedule details typically**  include;.a) Contractual milestonesb) Act","Preliminary with proposal","equipment","contract management information deliverables","Contract Requirement",,"5805","yes","yes","yes",,,,,,"WAO","AFD","yes","native","CFIHOS-68000200","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#03","Progress Report","progress report","Report detailing activities completed in the period, percent complete against planned, activities planned for the next period, risks/areas of concern, cause of any delays and proposed recovery plans, concessions, internal and outsourced inspection and aud",,"equipment","contract management information deliverables","Contract Requirement",,"6944","no","yes","yes",,,,,,"WAO","AFD","yes","PDF","CFIHOS-68000201","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#04","Quality Plan","quality plan","Plan specifying the actions, responsibilities and associated resources to be applied by the manufacturer, and when applicable sub-suppliers, to deliver the services or procured item(s) in conformance with the agreed requirements. ISO9001 Clause 8.1 and","Preliminary with proposal","equipment","contract management information deliverables","Contract Requirement",,"5798","yes","no","yes",,"WAO",,"WAO",,,"AFD","yes","native","CFIHOS-68000202","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#05","Design and Development Plan","design and development plan","NOT RELEVANT FOR HVSG",,"equipment","contract management information deliverables","Contract Requirement",,"5798",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000203","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#06","Sub-Supplier Delivery Schedule","sub-supplier list","Definition of processes,  products or services that will be externally provided and the controls to be applied by the [supplier] to ensure conformance with agreed requirements. The schedule includes evidence of the basis of capability assessment , quality","Preliminary with proposal","equipment","contract management information deliverables","Contract Requirement",,,"yes","yes","yes",,,,,,"WAO","AFD","yes","PDF","CFIHOS-68000204","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#07","Inspection and Test Plan (ITP)","inspection and test plan (itp)","Tabular presentation of a quality plan typically used  for process or product applications to define the specific sequence of operational activities, instructions, acceptance criteria, records and associated manufacturer, user and independent conformity a","Preliminary with proposal","equipment","contract management information deliverables","Contract Requirement",,"5733","yes","no","yes",,"WAO",,"WAO",,,"AFD","yes","native","CFIHOS-68000205","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#08","Handling, shipping and storage procedure","handling, shipping and storage procedure","Definition of practices to be followed during the; storage, transport, lifting and preservation of the equipment and materials included in the scope of supply to maintain their  functionality and guarantees.Procedures typically define:a) Packaging requi",,"equipment","contract management information deliverables","Contract Requirement",,"6028","no","yes","yes",,,,,,"WPTD","AFD","yes","PDF","CFIHOS-68000206","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#09","Non-conformance records","non-conformance history","Details of  non-conformances raised by or to the manufacturer/sub suppliers against  technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the manufacturer in accordance with ISO9001 Clause 8.7 a",,"equipment","contract management information deliverables","Contract Requirement",,"6918","no","yes","yes",,,,,,"WPTD","AFC","yes","PDF","CFIHOS-68000207","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#10","Concession requests","concession request","Formal submission seeking user agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance.Requests ar",,"equipment","contract management information deliverables","Contract Requirement",,"7205","no","no","yes",,"WAO",,"WAO",,,"AFC","yes","native","CFIHOS-68000208","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","MD#11","Obsolescence management plan","management plan","Plan defining the manufacturer's co-ordinated activities to direct and control the strategies for the identification and mitigation of the effects of obsolescence to the user, through all stages of the life of all components within the high-voltage switch","Preliminary with proposal","equipment","contract management information deliverables","S-620 Clause 5.0.103",,,"yes","yes","yes",,,,,,"WAO","AFD","yes","PDF","CFIHOS-68000209","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#02","CT sizing calculations","calculation","Calculations to size the CT's, e.g. burden and accuracy class.",,"equipment","technical information deliverables","S-620 Clause 9.2",,,"no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000210","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#03","Current transformer characteristics","characteristics","The magnetization and transient characteristics of the current transformers.",,"equipment","technical information deliverables","S-620 Clause 9.2",,,"no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000211","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#04","High-voltage protective devices characteristics and ratings","characteristics","Time-current characteristics of high-voltage protection devices provided with the switchgear and controlgear assembly, e.g. motor-starter fuse and protection relay curves.",,"equipment","technical information deliverables","S-620 Clause 9.2",,,"no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000212","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#05","Utility load calculation","calculation","Summarises the normal and transient DC and AC utility loads of the switchgear for the purpose of sizing external power provision.",,"equipment","technical information deliverables","IEC 62271-1Clause 10.3",,,"no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000213","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#06","Connection Diagram","connection diagram","Drawing providing information about the external physical connections per functional unit including hydraulic, pneumatic and electrical connections.",,"equipment","technical information deliverables","IEC 62271-1Clause 11.3.5",,"8804","no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000214","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#07","Switchgear I/O schedule","schedule","Schedule of tags identifying IED programmable addresses and hardwired signal interfaces for all functional units within the switchgear and control gear assembly.",,"equipment","technical information deliverables","S-620Clause 5.4.1.1",,"4327","no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000215","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#08","Functional logic diagram","logic diagram","Control logic embedded in IEDs (e.g. protection relays) that is developed by the manufacturer to implement the requirements of the user diagrams and associated protection relay settings.",,"equipment","technical information deliverables","S-620Clause 5.115.3",,"4780","no","no","yes",,"WAO",,"WAO",,,"AFC","yes",,"CFIHOS-68000216","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#09","Switchgear single line diagram","single line diagram","Drawing detailing major items of equipment, including protection devices per functional unit using IEC 60617 standard symbols and/or ANSI C37.2 device function numbers per switchgear and controlgear assembly.",,"equipment","technical information deliverables","S-620 Clause 9.2",,"2384","no","no","yes",,"WAO",,"WAO",,,"AFC","yes",,"CFIHOS-68000217","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#10","Circuit and wiring diagram","circuit and wiring diagram","Drawing detailing in schematic form the functional unit in respect of electrical and instrument circuit connections based on the principles in IEC 61082-1, Preparation of documents used in electrotechnology - Part 1: Rules.  The circuit(s) to be shown to",,"equipment","technical information deliverables","S-620 Clause 9.2",,"8880","no","no","yes",,"WAO",,"WAO",,,"AFC","yes",,"CFIHOS-68000218","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-20T06:15:45.029Z",
"IOGP S-620:2018","S-620#11","Inter-panel diagram","connection diagram","Wiring diagram detailing the control and auxiliary interfaces between functional units within the switchgear and controlgear assembly.  The wiring diagram identifies functional unit inter-connection and field run connections to be made during assembly of",,"equipment","technical information deliverables","S-620 Clause 9.2",,"8804","no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000219","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#12","Probability of failure on demand reliability data","reliability data","Identifies reliability input data for functional unit and protection relay probability of failure on demand (PFD) to enable user to perform functional safety requirements assessments to IEC 61511.",,"equipment","technical information deliverables","S-620 Clause 5.115.2",,,"no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000220","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#13","IED Interrogation and Programming Software","software","Software required to access and program the relays and programmable devices in the HV switchgear",,"equipment","technical information deliverables","S-620 Clause 5.115.3",,,"no","yes","yes",,,,,,"WAO","AFC","yes",,"CFIHOS-68000221","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#14","Relay IED configuration files","software configuration file","Relay and programmable configuration devices files (native files and PDF)",,"equipment","technical information deliverables","S-620 Clause 5.113.3",,,"no","yes","yes",,,,,,"WPTT","AFC","yes",,"CFIHOS-68000222","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#15","IEC 61850 configuration files","software configuration file","Substation Configuration Description (SCD) or Configured IED Description (CID) files",,"equipment","technical information deliverables","S-620 Clause 5.115.4",,,"no","yes","yes",,,,,,"WPTT","AFC","yes",,"CFIHOS-68000223","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#16","Bill of materials","bill of materials","A list of parts, components and sub-assemblies for equipment with part numbers, item numbers, quantities, material designations and references to specifications including sub-suppliers and associated purchase orders.",,"equipment","technical information deliverables","IEC62271-200Clause 9.2",,"4306","no","yes","yes",,,,,,"WPTD","AFC","yes",,"CFIHOS-68000224","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#17","Type test report","test certificate","A document that provides a summary of type tests, including the specific year and edition of the IEC used to perform the type test for all discrete functional units provided",,"equipment","technical information deliverables","IEC 62271-200Clause 6.1",,,"no","yes","yes",,,,,,"WPTD","AFD","yes",,"CFIHOS-68000225","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#18","ECMS simulation test procedure","test procedure","User-agreed functional test procedure of the ECMS or its parts using the parameter set for the planned application including communication interfaces with integrated control and safety systems.",,"equipment","technical information deliverables","S-620 Clause 7.107,S-620Q Annex A",,"6061",,"no","yes",,"WPTT",,"WPTT",,,"AFD","yes",,"CFIHOS-68000226","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#19","ECMS simulation test report","test report","Results from the execution of ECMS simulation test procedure including communication interfaces with integrated control and safety systems.",,"equipment","technical information deliverables","S-620 Clause 7.107S-620Q Annex A",,,,"yes","yes",,,,,,"WAT","AFC","yes",,"CFIHOS-68000227","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#20","Routine Verification Test (FAT) Procedure","test procedure","Procedure documenting the manufacturers recommended testing activities and acceptance criteria according to applicable standards, specifications and requirements, to document the condition of the equipment as tested from factory. Procedure to define test",,"equipment","technical information deliverables","IEC 62271-200 Clause 7,S-620Q Annex A",,"6061","no","yes","yes",,,,,,"WPTT","AFD","yes",,"CFIHOS-68000228","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#21","Certificate of conformity","certificate of conformance (coc)","The manufacture's or other party's confirmation that the product is designed, manufactured and tested as specified. To be delivered according to applicable authorities requirements. An example is marine class approval of the switchgear","marine class approval from an independent verification body","equipment","technical information deliverables","S-620 Clause 9.2",,,"no","yes","yes",,,,,,"WPTD","AFC","yes",,"CFIHOS-68000229","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-20T06:15:45.029Z",
"IOGP S-620:2018","S-620#22","Site acceptance test (SAT) procedure","test procedure","Procedure documenting the manufacturers recommended site tests including discrete functional unit and overall assembly, electrical, mechanical, protection relay and IEDs.","To incorporate site interfaces","equipment","technical information deliverables","IEC62271-1Clause 11.3.7",,"6061","no","no","yes",,"WPTT",,"WPTT",,,"AFD","yes",,"CFIHOS-68000230","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#23","Site acceptance test report","test report","Site acceptance test report including discrete functional unit and overall assembly, electrical, mechanical, protection relay and IED tests.",,"equipment","technical information deliverables","S-620 Clause 7",,,"no","no","yes",,"WAT",,"WAT",,,"AFC","yes",,"CFIHOS-68000231","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-620:2018","S-620#M01","IED Configuration Responsibilities","responsibility matrix","Responsibility matrix or flow chart detailing device configuration and set-point responsibilities including protection relay, IED generic configuration and IED functional logic files for the purpose of interface control between user and manufacturer durin","Preliminary with proposal","equipment","contract management information deliverables","S-620 Clause 5.115.3",,,"yes","yes","yes",,,,,,"WAO","AFD","yes","PDF","CFIHOS-68000232","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-703:2020","S703-IR-1","Supplier master information schedule","supplier master information schedule","Schedule of specific information deliverables developed by the [Vendor] and accepted by the [Purchaser] to meet the information requirements defined in the agreed Information Requirements Specification (IRS).The schedule typically defines;a. information",,"equipment","contract management information deliverables","API 671, 13.1.1","JA","6611",,"no","no",,,,,,,"AFD","yes","native","CFIHOS-68000233","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-703:2020","S703-IR-19","General arrangement drawing","general arrangement diagram","A drawing showing overall dimensions, critical interface dimensions, part references and weight of assemblies, equipment and components. The drawing shall contain reference to main specifications and standards. For equipment / components the drawing may i","Preliminary with proposal","equipment","technical information deliverables","(11.1 para 3.5 new), (11.1), 11.3.1.1, 11.3.1.3, 11.3.2.3, 11.3.3.3, 11.3.4.1, 11.3.4.3, 6.8.2","EA","4018","yes","yes","yes",,,,,,"WAO","AFD","no","PDF","CFIHOS-68000234","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-703:2020","S703-IR-20","Single-speed motor performance curves","motor performance curve","Motor performance curve shall include the following information:- Torque curve from 0 to 100% synchronous speed at 80% rated voltage expressed as a percentage of rated torque.- Torque curve from 0 to 100% synchronous speed at 100% rated voltage expresse",,"equipment","technical information deliverables",,,,"yes","yes","yes",,,,,,"WAO","AFD","yes","PDF","CFIHOS-68000235","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
