"document type short code","document type name","document type description","document type classification code","CFIHOS unique id","synonym","created date","modified date","terminated date","change request number","status"
"5722","engineering schedule","A time-based document outlining order in which tasks are to be carried out and the amounts of time allocated to them.  Addresses design phase as well as engineering support during manufacturing, construction, tie-in, test/inspect, shutdown.","DOCT","CFIHOS-70000109",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"8225","engineering study",,,"CFIHOS-70000110",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"0702","environmental impact assessment","An assessment which details the impact of facility on the surrounding environment.","CONT","CFIHOS-70000111",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2701","regulatory compliance report","Report demonstrating compliance with local regulations and law.","CONT","CFIHOS-70000112",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6852","environmental management system description","Shall include a brief description of Vendor's documented Environmental Management System showing how the system is structured and reference to the standard on which it is based (e.g. ISO 14001 or similar).","CONT","CFIHOS-70000113",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"1907","equipment brochure","Extracts from a vendor's published catalogue. Synonyms include Booklet, Circular, Flyer, Leaflet, Pamphlet, Glossy, Catalogue, Brochure, Magazine. Usually informal and held within a reference library, but may also be used to confirm equipment details during procurement.",,"CFIHOS-70000114",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"3004","equipment production criticality rating report","A report documenting production criticality rating of equipment, sparing, maintenance testing and inspection requirements, spare parts requirements etc. Will feed into maintenance reference plan.","CONT","CFIHOS-70000115",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"2320","equipment cross section diagram","A sliced view of a part or component that shows its internal make up.","DOCT","CFIHOS-70000116",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2105","design datasheet","A datasheet which provides precise information about a  tag and compliments equipment specification.","DOCT","CFIHOS-70000117",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"2321","general diagram","A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.","DOCT","CFIHOS-70000118",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2322","installation diagram","Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.","DOCT","CFIHOS-70000119",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"4012","equipment layout diagram","General Arrangements main equipment.",,"CFIHOS-70000120",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"0602","equipment location diagram","Shows the physical location of all equipment. Shows the exact position of detectors/alarms and for detectors, shows their orientation and fire area covered. Synonym: Equipment Location Plan",,"CFIHOS-70000121",,"2017-02-13T21:17:17.546Z","2021-10-04T23:28:47.448Z","2021-10-04T23:28:47.448Z","CR0027","TERMINATED"
"6612","master tag-equipment register","An authoritative collection of values with a relationship to a specific equipment or tag.  The columns of this collection is specified and controlled.","CONT","CFIHOS-70000122",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"1379","equipment sizing calculation","Calculations of the sizes of major static and rotating equipment.",,"CFIHOS-70000123",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5509","equipment sparing philosophy",,,"CFIHOS-70000124",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8226","equipment study",,,"CFIHOS-70000125",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"4322","equipment list","A customized list developed to support discipline activities, extract from a Register that is used as a secondary reference (i.e. not the master). Considers all potential disciplines. Covers: conduits, panels, pipe supports, piping speciality items, lighting, etc.","DOCT","CFIHOS-70000126",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"5510","equipment type selection philosophy","A document outlining the premise and intent for decisions that are to be followed regarding a selection of rotating equipment. Typically provided as instruction from Owner Operator.","CONT","CFIHOS-70000127",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6854","ergonomic report",,,"CFIHOS-70000128",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"0703","escape, evacuation, rescue assessment","An assessment which details the emergency evacuation and rescue means from a facility.","CONT","CFIHOS-70000129",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6856","expediting report","A report of all open purchase orders containing items scheduled to be received as of a given date, but not yet received.","CONT","CFIHOS-70000130",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6857","expenditure report",,,"CFIHOS-70000131",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5803","fabrication schedule","A time-based document outlining sequence and duration of activities related to the completion of fabrication scope at third party sites.","DOCT","CFIHOS-70000132",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"0902","facility block diagram","For Process, High Level Process Flow Diagram.",,"CFIHOS-70000133",,"2017-02-13T21:17:17.546Z","2021-10-04T22:14:41.364Z","2021-10-04T22:14:41.364Z","CR0027","TERMINATED"
"0502","fatigue analysis","Verification of module/substructure design for cyclic loads.","CONT","CFIHOS-70000134",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"4013","floor plan","A diagram showing building, rooms, doorways, cabinet and other permanent equipment installed. Including external layouts and elevation.","DOCT","CFIHOS-70000135",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"5726","field development plan","A plan providing an evaluation of field development alternatives together with the selection of an optimal development concept based on subsurface scenarios (uncertainty) and field engineering options.","CONT","CFIHOS-70000136",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"0503","finite element analysis report","A report documenting method (including software) and results of finite element analysis of components.","CONT","CFIHOS-70000137",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"1212","fire extinguishant calculation","Calculations to prove that a given quantity of agent will be delivered at a set rate & time. Note: Applicable to fixed fire suppression systems designed specifically for room protection.  Water mist will also be used for turbine enclosure protection.","CONT","CFIHOS-70000138",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2410","fire fighting flow scheme","Details in schematic form the active fire fighting systems, equipment (fire pumps, deluge, monitor and Halon skids) piping, valves, tagged instruments and their relationships.",,"CFIHOS-70000139",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5511","fire protection philosophy","A document outlining the premise and intent for  fire protection both passive (firewalls) and active (manual, foam, monitor, deluge/sprinkler systems etc.) in a facility.","CONT","CFIHOS-70000140",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"0704","fire, explosion assessment","An assessment which details the fire and explosion propagation and risks based on facility design.","CONT","CFIHOS-70000141",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"4016","firefighting equipment layout diagram","Drawing detailing the location of all portable/semi portable fire fighting equipment (fire extinguishers, crash kits, hydrants and equipment, hose reels, breathing apparatus).",,"CFIHOS-70000142",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5877","flawless project delivery plan","An overall plan explaining how Flawless Project Delivery is implemented.",,"CFIHOS-70000143",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5876","flawless project delivery quality plan","A plan explaining how the FPD is implemented by Q area.",,"CFIHOS-70000144",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"0504","fluid analysis","A report documenting compositional lab analysis of fluid streams.","CONT","CFIHOS-70000145",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"6025","flushing procedure",,,"CFIHOS-70000146",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6026","heat treatment procedure","A procedure detailing heating, soak, cooling parameters, limits of strain during forming, temperature ranges, method of attachment of thermocouples, temperature control, equipment calibration, production testing, etc.","CONT","CFIHOS-70000147",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR16","STANDARD"
"2331","foundation design diagram","Details of foundation design for construction. Also see Foundation Loading Diagram, specifically for loads and Foundation Layout Diagram, specifically for spatial location.","CONT","CFIHOS-70000148",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"8377","foundation design study","Foundation selection and Design, including priorities and criteria, practical restrictions, options considered and design of selected foundations. This document also evaluate the most cost effective foundation.",,"CFIHOS-70000149",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"4017","foundation layout diagram","An arrangement diagram in plan view depicting the location of foundation/pile supports. Also see Foundation Design Diagram, specifically for construction details and Foundation Loading Diagram, specifically for imposed loads. Also see 2358 Support Diagram. Synonym: foundation plan, piling plan.",,"CFIHOS-70000150",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2332","foundation loading diagram","A diagram detailing static and dynamic forces or movements acting on foundations or other load bearing supports, anchor bolt details, lengths and pre-tensioning. May include Civil Structural for loads imposed, and Civil Foundations for foundation design.  Also see Foundation Design Diagram, specifically for construction details.","CONT","CFIHOS-70000151",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"5878","gas and energy management plan","The Greenhouse Gas and Energy Management Plan (GHGEMP) is the main vehicle for integrating the different aspects of the management process, ensuring that timely and quality decisions are taken during the different ORP phases. As such, it should provide a structured and quantitative demonstration that the full range of TECOP issues related to GHG and Energy Efficiency has been considered during project development and an ALARP position has been fully evaluated. The GHGEMP is also a key deliverable required for CO2 functional support and the Decision Gate reviews.",,"CFIHOS-70000152",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"4018","general arrangement diagram","A diagram showing the main features and locations of major items. Usually has some dimensions to convey spatial relationships but is generally inadequate for construction.","DOCT","CFIHOS-70000153",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"6028","handling, shipping, storage procedure","A procedure indicate size of container, number off, weight, identification and contents, include detail preservation procedure detailing inspection periods, materials required etc., both prior to installation and post installation, but prior to commissioning.  Any special unpacking/handling requirements shall be stated.","CONT","CFIHOS-70000154",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"0505","hazard analysis","A report identifying hazards following review exercises.","CONT","CFIHOS-70000155",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6873","hazard identification report","A report summarizing all project (HAZID) exercises. Usually includes action lists, follow up, and close out action descriptions and acceptance.","CONT","CFIHOS-70000156",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6874","hazard management physical effects modeling report",,,"CFIHOS-70000157",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6875","hazard and operability report","A report summarizing all project HAZOP studies. To include action lists, follow up and close out action descriptions and acceptance.","CONT","CFIHOS-70000158",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030;FR41","STANDARD"
"6613","hazard, effect register","An authoritative collection of all individual point sources for emissions, discharge inventories and corresponding zone classifications. The columns of this collection are specified and controlled.","CONT","CFIHOS-70000159",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"1415","hazardous area certificate","A document issued by a recognised independent authority certifying that a type test has satisfied the specified standards; e.g.  ATEX, BASEEFA, PTB, UL, CSA, etc. Examples of ratings include Intrinsically Safe & Explosion Proof.","CONT","CFIHOS-70000160",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"1601","hazardous area classification","As stipulated in EP 95-000",,"CFIHOS-70000161",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2334","hazardous area classification diagram","A diagram which provides information on the level of explosion proofing etc. required in each area. Synonym: Electrical Area Classification.","CONT","CFIHOS-70000162",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"6876","health check report","Provides a focussed assessment by independent reviewers to bodies outside of the project team regarding the adequacy of a particular deliverable or process.",,"CFIHOS-70000163",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"0705","health impact assessment","An assessment which details the impact of facility on the health of the surrounding populace.","CONT","CFIHOS-70000164",,"2017-02-13T21:17:17.546Z","2021-10-04T23:28:47.448Z",,"CR0027","STANDARD"
"1216","heat and mass balance calculation","Process simulation and process calculations required for generation of heat and mass balance cases. This will include specific heating and cooling medium simulations.",,"CFIHOS-70000165",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"3342","heat and mass balance summary","A report detailing heat & mass balance for an individual design case. It will contain all required process compositions and parameters for selected locations through the process.","CONT","CFIHOS-70000166",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2335","hook up diagram","A diagram which may show the instrument impulse, pneumatic and electronic connections, pipe work, valves, fittings, flanges and support details with associated material take-off list. Used for removal/hook up purposes and modifications. Synonym: Installation details.","CONT","CFIHOS-70000167",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2407","hvac flow diagram","A schematic diagram depicting an HVAC ducting system, including all items of duct mounted equipment complete with tag numbers, flow rate and duct sizing information.","CONT","CFIHOS-70000168",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"4603","hydraulic calculation","Calculations to indicate basis on which equipment is sized, including pipe friction losses, equipment elevations and terminal point static pressures. Includes Net Positive Suction Head calculations and other steady state conditions. Also includes calculation of hydraulic surge (synonym Water Hammer) for the purpose of determining valve sizing, closing speed, etc.","CONT","CFIHOS-70000169",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2336","hydraulic, pneumatic diagram","A schematic for any system not covered by PEFS/UEFS (e.g., P&IDs) e.g. hydraulic pneumatic cooling,  hydraulic controls.","CONT","CFIHOS-70000170",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"8373","ice analysis study","A study providing an analysis of ice data.","CONT","CFIHOS-70000171",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"8374","ice environment reference document study","A study providing a description of the ice environment.","CONT","CFIHOS-70000172",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"8422","ice survey","A report describing how, when and where ice data has been collected.","CONT","CFIHOS-70000173",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6881","safety critical elements register","An authoritative collection of all safety critical elements (SCE), as defined by company.  The columns of this collection are specified and controlled.","CONT","CFIHOS-70000174",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"0514","in place analysis","A report documenting  assumptions and method determining computer structural analysis for topsides modules including piperack, flare tower, bridge for in-place loading condition.","CONT","CFIHOS-70000175",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"3705","incident report","A report  issued to achieve timely notification report of any accident  incident occurring during the projects, including on-site, in contractors offices, etc. Severity requirements to be specified by Owner/Operator.","CONT","CFIHOS-70000176",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"0706","independent assessment","An assessment which is generated by 3rd party technical or execution expert on work done in their relevant field to assess correctness of approach/deliverable.","CONT","CFIHOS-70000177",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"4372","index of documents","Books, as defined in the CFIHOS require this Index to be created. Since the purpose of the Index is management of a group of documents, this can only be associated with JA Information Management. Examples: Health, Safety, Environment, Quality Communication Dossier Basic Design, Engineering Package Authority Approval Package.","CONT","CFIHOS-70000178",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"4327","input, output list","An authoritative collection of values with a relationship to a specific equipment.  List to show input and output of an equipment (e.g. instrument, telecom equipment) connected to other equipment (e.g. distributed control system, programmable logic controller).The columns of this collection is specified and controlled.","CONT","CFIHOS-70000179",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"5733","inspection and test plan","A document capturing what particular activities and requirements will be executed and delivered relating to inspection and testing for construction & vendor work. Synonym: ITP.","DOCT","CFIHOS-70000180",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"3328","installation manual","A document that describes methods of installing a piece of equipment.  Installation refers to the mounting, setting, erection, etc.","CONT","CFIHOS-70000181",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2398","heat tracing diagram","A diagram detailing electrical tracing. Includes anchoring and expansion joint details where applicable. Drawings to indicate thicknesses, specification and limit of application.","CONT","CFIHOS-70000182",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7755","insulation, heat tracing specification","Provides equipment application information (pipe, vessel etc.) material type, thickness requirements, services conditions, personnel protection and fireproofing. Includes refractory insulation. Includes electrical tracing.",,"CFIHOS-70000183",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8376","integration study","Usually concerns integration of data from various sources into a comprehensive geotechnical subsurface model. May include geotechnical, geophysical and geomatics data.",,"CFIHOS-70000184",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"3329","integrity operating envelope","Specifies the lower and upper safe working operating parameters (temperature, pressure, composition, flow) that shall be used for sizing unit operations.",,"CFIHOS-70000185",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2341","interface diagram","A diagrams documenting Interfaces and demarcation of responsibilities between different organizations (e.g. battery limits, terminations).","CONT","CFIHOS-70000186",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7875","interface document","The information in  the interface register (see AA6627), interface diagram (see **2341) and tie-in list (see **4363) are combined in an Interface Document. This document establishes a comprehensive coherent and transparent overview for all interfaces between two execution contract. This document is included within the corresponding ITTs.",,"CFIHOS-70000187",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5800","interface plan","A document capturing what particular activities and requirements will be executed and delivered to mange interface between internal and external parties (esp. between contract scopes).","CONT","CFIHOS-70000188",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"6069","interface procedure","A procedures around Interface management activities between internal and external parties.","CONT","CFIHOS-70000189",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"6627","interface register","A register documenting agreements and responsibilities between internal and external parties (esp. between contract scopes).  An overview of all communications (also called interface queries) and their status between two parties for the management of interface communication.","CONT","CFIHOS-70000190",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"3330","invitation to tender","A standardised document by which the Company invites Tenderers to submit a tender for a Contract. It encloses the conditions for the submission of a tender and gives the terms of reference or the technical qualifications required. Synonym: Request for Proposal (RFP), Request for Quotation (RFQ).","CONT","CFIHOS-70000191",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"5517","isolation philosophy","A document outlining the premise and intent for isolation philosophy for safe plant operation and maintenance.","CONT","CFIHOS-70000192",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2343","isometric diagram","Construction detail diagram for Piping and Ducting, providing an accurate Bill of Materials (BOM) / Material Take Off (MTO) and represented in a 3 dimensional isometric view.","CONT","CFIHOS-70000193",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"3377","job description","Describes required skill, knowledge, experience of a particular job. Synonym of Position Description PD.",,"CFIHOS-70000194",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6614","laws, regulations register",,,"CFIHOS-70000195",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"4024","key plan","A plan view diagram of a plant/group of plants showing the interfaces of layout diagrams of components.  Typically only shows major equipment and infrastructure to provide context and orientation.","DOCT","CFIHOS-70000196",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7417","lessons learned report","A report which documents lessons gained from the execution of the project.","CONT","CFIHOS-70000197",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6033","lifting procedure","Any additional information not covered by Erection & Installation Procedures (VDR Code P08).",,"CFIHOS-70000198",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8236","lifting study","A study determine needs for cranes and handling equipment access for project phase also access and cost related considerations to be made.  Including project related materials handling and bulk handling.","CONT","CFIHOS-70000199",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"5736","lifting, hoisting, and rigging plan","A document capturing what particular activities and requirements will be executed and delivered for lifting, hoisting, and rigging.  Should cover scope regardless of timing in asset lifecycle.  Specific risks relating to simultaneous operations should be addressed.","CONT","CFIHOS-70000200",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"4025","lighting layout diagram","Layout of lighting and earthing (grounding) on facility.",,"CFIHOS-70000201",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"1915","lighting performance data","Polar diagrams plus general performance data for specified luminaire types.",,"CFIHOS-70000202",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"4329","load list","An authoritative collection of electrical loads which the electrical system must accommodate listed against each piece of equipment.  The columns of this collection are specified and controlled.","CONT","CFIHOS-70000203","load schedule","2017-02-13T21:17:17.546Z","2021-10-04T18:53:34.661Z",,"CR0027;CR0030","STANDARD"
"0520","loadout and loadin analysis","A report documenting  assumptions and method determining computer analysis to verify the module design for loadout/in condition.","CONT","CFIHOS-70000204",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"2347","loop diagram","A diagram showing details all elements of a control loop, from sensing element through to controlling element, and cabling and wiring details for the associated instruments. Includes junction box, marshalling cabinet and control panel terminations and power supply details.","CONT","CFIHOS-70000205",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"4810","maintenance manual","A document that describes methods of maintaining a specific piece of equipment.  Typically originates from the equipment or package supplier.","CONT","CFIHOS-70000206",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"8239","maintenance study",,,"CFIHOS-70000207",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"3341","manpower histogram","A diagram detailing current and predicted manpower through project broken down by trade/profession.","CONT","CFIHOS-70000208",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"5679","material and equipment performance philosophy","Performance requirment for architectural elements to be used for the selection criteria of generic type of materials, systems and equipment.",,"CFIHOS-70000209",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6036","material management procedure","Procedures for the management of materials (including Packing, Shipping, Handling and Storage)",,"CFIHOS-70000210",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2107","safety datasheet","A datasheet which summarizes of physical and chemical properties of the substance - description of its harmful nature including potential impact on the health and safety of personnel and of the environment - precautions necessary to ensure its safe use and eventual disposal.","CONT","CFIHOS-70000211",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"2349","material selection diagram","A schematic diagram (ie. typically a layer on a PFS/PFD or PEFS/P&ID) showing materials selected for each component of the design. May include piping class breaks (eg. CS/SS316) and vessel internals (e.g. CS Epoxy lined). Includes corrosion loop diagrams that show boundary definitions.","CONT","CFIHOS-70000212",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"5743","material selection plan",,,"CFIHOS-70000213",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5009","material selection report","To include main threats, materials requirements, pre-selection, detailed selection with cost-benefit analysis and the operating envelope of the final material choice.",,"CFIHOS-70000214",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8241","material selection study","A study describes materials and reasons for selecting those materials (e.g. environmental conditions). Considered a precursor to the MS Report and MS Diagram, where used.","CONT","CFIHOS-70000215",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
