line	table	item	code	propId	Name	Description	type	physicalQuantity	ListId	UnitCodeList	Priority	
76	39	 motors	EM	1154	Insulation class - stator	Insulation class in accordance with IEC 60034-1	List		1174	Y, A, E, B, F, H	Medium	
34	33	 Compressors	CO	1155	Intercooler fitted	Specify if cooler is fitted	Bool			Yes/no	Medium	
232	65	 vessels	VE	1156	Internals	Design principle	List		1013	Baffles, trays, grid plate, demister, heat coil, diverter, de-sander, combined	Low	
398	97	 detectors	FG	1157	Item characteristics							
412	101	 devices	IP	1157	Item characteristics							
918	180	 fixation	JF	1158	Jacking frame type	Jacking frame type	List		1073	Fixed, floating	Medium	
908	180	 fixation	JF	1159	Jacking load emergency	Emergency jacking load	PQ	weight		Tonnes	Low	
909	180	 fixation	JF	1160	Jacking load rated	Rated jacking load	PQ	weight		Tonnes	Medium	
238	68	 Piping	PI	1161	Length	Total length	PQ	length		Metres	High	
667	142	 completion	WE	1161	Length	Provide length for any tubular equipment	PQ	length		Meters or feet	High	
709	147	 DHSV/WRSCSSV	WR-SCSSV	1161	Length		PQ	length		Metres	High	
354	87	 transformers	PT	1162	Level of insulation	Insulation in accordance with IEC 60076-3	PQ	electrical tension / voltage		Kilovolts	High	
616	136	 vessels	SV	1163	Liquid/gas boosting	Main fluid	Bool			Yes/No	Medium	
852	167	 (BOP)	BO	1164	LMRP connector - manufacturer and model	Specify				Specify	High	
853	167	 (BOP)	BO	1165	LMRP connector pressure rating	Specify	PQ	pressure		Pascal (pounds per square inch)	Medium	
396	97	 detectors	FG	1166	Location on installation	Where installed	List		1053	Drill floor, wellhead, process, auxiliary, mud processing, power generation, utility, control room, auxiliary room, living quarter	High	
409	101	 devices	IP	1166	Location on installation	Where installed	List		1053	Drill floor, wellhead, process, auxiliary, mud processing, power generation, utility, control room, auxiliary room, living quarter	High	
470	112	 Nozzles	NO	1167	Location on plant	Where located in the plant	List		1005	Air inlet, compressor, diesel engine, drilling, electric motor, FW inlet, gas-metering, generator, header, heat exchanger, living qt., mud-processing, pigging station, pipeline, pump, separator, turbine, utility, vessel, wellhead, wellhead flowline, wellhead injection line, X-mas tree	High	
766	153	Electrical submersible pumps	ESP	1168	Locked rotor current, torque and power factor	Motor	PQ	electrical current / amperage		Amps	High	
64	36	 generators	EG	1169	Lubrication of bearings	Type of bearing lubrication	List		1086	Grease, oil bath, pressurized oil, oil ring	Low	
261	71	 Winches	WI	1169	Lubrication of bearings	Type				Specify	Low	
161	54	 Cranes	CR	1170	Main boom length	Specify	PQ	length		Metres	Medium	
435	108	 Valves	VA	1171	Main function	Main functional category	List		1076	Flow control, on/off, non-return, Pressure relief, instrument or hydraulic control	High	
861	167	 (BOP)	BO	1172	Make and version of control system	Specify				Specify	High	
888	171	 (BOP)	BO	1172	Make and version of control system	Specify				Specify	High	
183	55	 Cranes	CR	1173	Manual overload protection system (MOPS)	Installed or not	Bool			Yes/No	High	
510	119	control	CS	1174	Manufacturer	Specify					Free text	High
560	127	 Risers	PR	1174	Manufacturer	Specify					High	
588	130	 pumps	SP	1174	Manufacturer	Specify				Specify	High	
676	144	(TR-SCSSV	TR-SCSSV	1174	Manufacturer					All major oilfield equipment manufacturers	High	
893	174	 intervention)	WC	1174	Manufacturer	Specify				Text	High	
454	109	 Valves	VA	1175	Manufactur-er - actuator	Name of actuator manufacturer				Specify	Low	
455	109	 Valves	VA	1176	Manufacturer - pilot valve	Name of pilot-valve manufacturer				Specify	Low	
456	109	 Valves	VA	1177	Manufactur-er - solenoid valve	Name of solenoid-valve manufacturer				Specify	Low	
662	142	 completion	WE	1178	Manufacturer a	Specify				Text	High	
708	147	 DHSV/WRSCSSV	WR-SCSSV	1178	Manufacturer a					All major oilfield equipment manufacturers	High	
664	142	 completion	WE	1179	Manufacturers part number a	Provide identifier which uniquely identifies equipment with identical design attributes				Text/numeric	High	
732	149	DHSV/WR-SCSSV	WR-SCSSV	1180	Material spec. for       closure device       seat       flowtube/piston					Code list of metallic materials	High	
698	146	(TR-SCSSV	TR-SCSSV	1181	Material spec. for      closure device      seat      flowtube/piston	Material used for the most vital valve parts. ÔÇÿSeat here means seat for closure device.				Code list of metallic materials	High	
254	71	 Winches	WI	1182	Max. capacity	Max. load capacity	PQ	volume		Metric tonnes	Medium	
172	54	 Cranes	CR	1183	Max. moment	Cranes max. moment	PQ	moment of force		Tonne*metre	High	
171	54	 Cranes	CR	1184	Max. operating swing	Turning range (total)	PQ	degrees		Degrees	Medium	
253	71	 Winches	WI	1185	Max. output	Max. input power - design	PQ	power		Kilowatt	High	
745	152	Electrical submersible pumps	ESP	1186	Maximum flow capacity rating	Bolt on discharge head	PQ	volume flow rate		Blpd	Medium	
754	153	Electrical submersible pumps	ESP	1186	Maximum flow capacity rating	Bolt on intake	PQ	volume flow rate		Blpd	Low	
751	153	Electrical submersible pumps	ESP	1187	Maximum GVF rating	Pump and gas handler	Number			%	Medium	
687	145	(TR-SCSSV	TR-SCSSV	1188	Maximum OD						Medium	
719	148	 DHSV/WRSCSSV	WR-SCSSV	1188	Maximum OD						Medium	
638	139	 pipelines	SL	1189	Maximum water depth	Specify	PQ	length		Metres	Medium	
335	84	 UPS	UP	1190	Method of ventilation	Specify	List		1077	Forced, natural	Low	
688	145	(TR-SCSSV	TR-SCSSV	1191	Minimum ID						Medium	
720	148	 DHSV/WRSCSSV	WR-SCSSV	1191	Minimum ID						Medium	
759	153	Electrical submersible pumps	ESP	1192	Minimum operating speed for thrust bearing	Seal chamber section	PQ	angular velocity		Revolutions per minute, rpm, or Frequency	Low	
673	144	(TR-SCSSV	TR-SCSSV	1193	Model	Give unique item model designation				Characters	High	
705	147	 DHSV/WRSCSSV	WR-SCSSV	1194	Model a	Give unique item model designation				Characters (25)	High	
663	142	 completion	WE	1195	Model name a	Give unique item model designation				Specify	High	
511	119	control	CS	1196	Model type	Specify					Free text	Low
589	130	 pumps	SP	1196	Model type	Specify				Specify	Low	
739	152	Electrical submersible pumps	ESP	1196	Model type	Specify				Specify	Low	
866	170	 (BOP)	BO	1197	Mooring	Specify	List		1051	DP, anchored, no	Medium	
807	162	 drives	TD	1198	Motor category (applicable for electric drives only)	Specify type	List		1097	Induction, synchronous	High	
765	153	Electrical submersible pumps	ESP	1199	Motor operating internal temperature limits	Motor	PQ	temperature		Degrees Celsius	High	
762	153	Electrical submersible pumps	ESP	1200	Motor performance parameters	Motor				Performance curve	High	
75	39	 motors	EM	1201	Motor type	Type	List		1096	Induction, commutator (d.c.), synchronous	Medium	
763	153	Electrical submersible pumps	ESP	1202	Motor voltage for minimum current	Motor	PQ	electrical current / amperage		Amps	High	
764	153	Electrical submersible pumps	ESP	1203	Motor winding temperature rise	Motor	PQ	temperature		Degrees Celsius	High	
825	163	 drives	TD	1204	Mud pressure capacity	Pressure	PQ	pressure		Pascal (bar)	Low	
531	123	 trees	XT	1205	Mudline suspension system	Define whether a mudline suspension system exists	Bool			Yes/no	Low	
788	157	Surface wellhead and X-mas trees	XD	1205	Mudline suspension system	Define whether a mudline system suspension exists	Bool			Yes/no	Low	
532	123	 trees	XT	1206	Multilateral well	Define	Bool			Yes/no	Low	
512	119	control	CS	1207	Multilateral wells	Specify					Yes/no	Low
497	115	 Lifeboats	LB	1208	Nautical speed rated	Rated nautical speed	PQ	speed		Knots	Medium	
263	71	 Winches	WI	1209	No. of drums	Number	Number			Number	Low	
666	142	 completion	WE	1210	Nominal size	Specify nominal size (size class) of equipment	PQ	length		mm or feet	Medium	
686	145	(TR-SCSSV	TR-SCSSV	1210	Nominal size						High	
718	148	 DHSV/WRSCSSV	WR-SCSSV	1210	Nominal Size						High	
811	162	 drives	TD	1211	Normal operating power	Power	PQ	power		Kilowatt	High	
82	39	 motors	EM	1212	Not relevant for induction motors.See IEC 60079 (all parts).							
96	42	 turbines	ST	1213	NOx abatement	Type of abatement control	List		1156	Steam, water, dry (e.g. dry low emission), none (e.g. single annular combustor)	High	
472	112	 Nozzles	NO	1214	Nozzle length	Specify	PQ	length		Millimetres	High	
471	112	 Nozzles	NO	1215	Nozzle mate-rial	Specify	List		1026	Brass, chrome-plated, electrode-less nickel-plated, lead-coated, stainless steel	High	
487	112	 Nozzles	NO	1216	Nozzle screen	Whether or not installed	Bool			Yes/No	Low	
473	112	 Nozzles	NO	1217	Nozzle width	Specify	PQ	length		Millimetres	High	
760	153	Electrical submersible pumps	ESP	1218	Number and severity of pressure cycles	Seal chamber section				Specify	High	
279	74	 Turrets	TU	1219	Number of anchor lines		Number			Number	High	
851	167	 (BOP)	BO	1220	Number of annular preventers	Specify	Number			Number	Medium	
880	171	 (BOP)	BO	1220	Number of annular preventers	Specify	Number			Number	Medium	
336	84	 UPS	UP	1221	Number of battery banks	Specify	Number			Number	Medium	
846	167	 (BOP)	BO	1222	Number of blind rams	Specify	Number			Number	Medium	
847	167	 (BOP)	BO	1223	Number of blind shear rams	Specify	Number			Number	Medium	
231	65	 vessels	VE	1224	Number of branches	Pressurized connections only	Number			Number	Low	
218	61	 boilers	HB	1225	Number of burners		Number			Number	Low	
848	167	 (BOP)	BO	1226	Number of casing shear rams	Specify	Number			Number	Medium	
30	33	 Compressors	CO	1227	Number of casings	Number of casings in the train	Number			Integer	High	
858	167	 (BOP)	BO	1228	Number of choke-and-kill valves	Specify	Number			Number	Medium	
885	171	 (BOP)	BO	1228	Number of choke-and-kill valves	Specify	Number			Number	Medium	
367	90	 Switchgear	SG	1229	Number of circuits	Number of outgoing connections	Number			Number	Medium	
523	122	 trees	XT	1230	Number of connections	Number of lines connected to the tree block	Number			Number	Low	
692	145	(TR-SCSSV	TR-SCSSV	1231	Number of control lines	Total number of control lines attached to valve				Numeric	Low	
724	148	 DHSV/WRSCSSV	WR-SCSSV	1231	Number of control lines	Total number of control lines attached to valve	Number			Number	Low	
7	29	 engines	CE	1232	Number of cylinders	Specify number of cylinders	Number			Integer	Low	
804	162	 drives	TD	1233	Number of drives (applicable for hydraulic drives only)	Specify number	Number			Number	High	
844	167	 (BOP)	BO	1234	Number of fixed pipe rams	Specify	Number			Number	Medium	
246	68	 Piping	PI	1235	Number of flanges	Specify	Number			Number	Low	
845	167	 (BOP)	BO	1236	Number of flexible pipe rams	Specify	Number			Number	Medium	
286	77	 Swivels	SW	1237	Number of paths	For power and signal swivels no. of paths is defined as no. of services	Number			Number	High	
353	87	 transformers	PT	1238	Number of phases	1-phase or 3-phase	Number			Number	High	
318	83	 UPS	UP	1239	Number of phases input voltage	1-phase or 3-phase	Number			Number	High	
323	83	 UPS	UP	1240	Number of phases output voltage	1-phase or 3-phase	Number			Number	High	
691	145	(TR-SCSSV	TR-SCSSV	1241	Number of pistons	Total number of pistons in valve.				Numeric	Low	
723	148	 DHSV/WRSCSSV	WR-SCSSV	1241	Number of pistons	Total number of pistons in valve	Number			Number	Low	
606	133	 distribution	EP	1242	Number of power consumers	0 - 99	Number			#	High	
877	171	 (BOP)	BO	1243	Number of ram preventers	Specify	Number			Number	Medium	
277	74	 Turrets	TU	1244	Number of risers		Number			Number	High	
92	42	 turbines	ST	1245	Number of shafts	Specify number	List		1000	1, 2, 3	Medium	
131	48	 turbines	ST	1245	Number of shafts	Specify number	Number			Number	Medium	
31	33	 Compressors	CO	1246	Number of stages	Number of compressor stages (not impellers) in this train	Number			Integer	Medium	
111	45	 Pumps	PU	1246	Number of stages	Centrifugal: number of impellers (in all stages)Reciprocating: number of cylindersRotary: number of rotors	Number			Number	Low	
149	51	 expanders	TE	1246	Number of stages	Number of stages (in series)	Number			Number	Low	
586	130	 pumps	SP	1246	Number of stages		Number			Number	Low	
647	140	 pipelines	SL	1247	Number of T-connections	Specify	Number			Number	Medium	
213	61	 boilers	HB	1248	Number of tubes	Specify	Number			Number	Medium	
200	58	 exchangers	HE	1249	Number of tubes/plates		Number			Number	Low	
278	74	 Turrets	TU	1250	Number of umbilicals		Number			Number	High	
244	68	 Piping	PI	1251	Number of valves	Number of valves installed on the pipe length considered	Number			Number	Medium	
856	167	 (BOP)	BO	1252	Number of wellhead connections	Specify total number of times the BOP has been run and (re-) latched to the wellhead during surveillance period	Number			Number	Medium	
883	171	 (BOP)	BO	1252	Number of wellhead connections	Specify total number of times the BOP has been run and (re-) latched to the wellhead during surveillance period	Number			Number	Medium	
382	93	 converters	FC	1253	Operating frequency range	Normal range of output frequency	PQ	frequency		Hertz	Low	
89	42	 turbines	ST	1254	Operating profile	Utilization profile	List		1017	Base load, peak load, load-sharing backup, emergency/reserve	High	
757	153	Electrical submersible pumps	ESP	1255	Operation deviation limits	Seal chamber section				Specify [numeric value]	High	
230	65	 vessels	VE	1256	Orientation	Specify	List		1092	Horizontal, vertical, spherical	Low	
625	136	 vessels	SV	1256	Orientation	Specify	List		1092	Horizontal, vertical, spherical	Medium	
210	61	 boilers	HB	1257	Outlet temperature	Design value	PQ	temperature		Degrees Celsius	Medium	
385	93	 converters	FC	1258	Output conditioning	Describes the output connection, whether output conditioning is used or a step up transformer	List		1133	Output filters, step up transformers	Medium	
322	83	 UPS	UP	1259	Output frequency	Rated output	List		1002	50 Hz, 60 Hz or DC	High	
910	180	 fixation	JF	1260	Output torque	Gear box output torque	PQ	moment of force		N/m	Medium	
160	54	 Cranes	CR	1261	Overall maximum height	Specify	PQ	length		Metres	Low	
457	109	 Valves	VA	1262	P i lot-v a lve configuration	Number and configuration (applicable for pilot-operated valves only)	List		1154	Specify, e.g. 1 ?ù 3/2 (= single 3/2 pilot valve), 2 ?ù 4/3 (= double 4/3 pilot valve)	Low	
44	33	 Compressors	CO	1263	Packing type		List		1103	Lubricated, dry	Low	
216	61	 boilers	HB	1263	Packing type					Specify	High	
675	144	(TR-SCSSV	TR-SCSSV	1264	Part number (manuf.)						High	
707	147	 DHSV/WRSCSSV	WR-SCSSV	1265	Part number (manuf.) a						High	
674	144	(TR-SCSSV	TR-SCSSV	1266	Part number (operator)						Medium	
706	147	 DHSV/WRSCSSV	WR-SCSSV	1266	Part number (operator)						Medium	
495	115	 Lifeboats	LB	1267	Personnel capacity	Personnel capacity (count)				Each	High	
529	123	 trees	XT	1268	Piggable	Specify if piggable or not	Bool			Yes/no	Low	
911	180	 fixation	JF	1269	Pinions count	Number of pinions				Each	Medium	
562	127	 Risers	PR	1270	Pipe diameter		PQ	length		Millimetres	Medium	
242	68	 Piping	PI	1271	Pipe material	Specify	List		1030	Carbon steel, stainless steel, alloy type, composite, titanium etc.	Medium	
563	127	 Risers	PR	1271	Pipe material	Specify	List		1157	Steel, composite, titanium, clad/lined	Medium	
646	140	 pipelines	SL	1272	Pipeline buried	Specify if part or entire pipeline is buried.	Bool			Yes/No	High	
640	139	 pipelines	SL	1273	Pipeline diameter	Nominal outer diameter (OD)	PQ	length		Millimetre	Medium	
639	139	 pipelines	SL	1274	Pipeline length	-	PQ	length		Metres	High	
690	145	(TR-SCSSV	TR-SCSSV	1275	Piston type		List		1142	RodConcentricRod and concentricOtherUnknown	High	
722	148	 DHSV/WRSCSSV	WR-SCSSV	1275	Piston type		List		1142	RodConcentricRod and concentricOtherUnknown	High	
29	33	 Compressors	CO	1276	Polytropic head		PQ	Kilojoules per kilogram		Kilojoules per kilogram	Low	
27	32	 Compressors	CO	1277	Power	Design power	PQ	power		Kilowatt	High	
4	29	 engines	CE	1278	Power - design	Maximum rated output (design)	PQ	power		Kilowatt	High	
53	36	 generators	EG	1278	Power - design	Design power	PQ	electrical tension / voltage		Kilovolts	High	
70	39	 motors	EM	1278	Power - design	Max. output (design)	PQ	power		Kilowatt	Medium	
87	42	 turbines	ST	1278	Power - design	ISO power rating	PQ	power		Kilowatt	High	
106	45	 Pumps	PU	1278	Power - design	Design/rated power of pump	PQ	power		Kilowatt	High	
128	48	 turbines	ST	1278	Power - design	ISO power rating	PQ	power		Kilowatt	High	
140	51	 expanders	TE	1278	Power - design	Max. design output power	PQ	power		Kilowatt	High	
346	87	 transformers	PT	1278	Power - design	Rated power	PQ	Kilovolt*amperes		Kilovolt*amperes	High	
380	93	 converters	FC	1278	Power - design	Design/rated power of the system	List		1101	Kilowatts (kW), Megawatts (MW), MegaVoltAmpere (MVA)	High	
584	130	 pumps	SP	1278	Power - design	Driver power	PQ	power		Kilowatt	High	
5	29	 engines	CE	1279	Power - operating	Specify the approximate power at which the unit has been operated for most of the surveillance time	PQ	power		Kilowatt	High	
71	39	 motors	EM	1279	Power - operating	Specify the approximate power at which the unit has been operated for most of the surveillance time	PQ	power		Kilowatt	Low	
88	42	 turbines	ST	1279	Power - operating	Specify the approximate power at which the unit has been operated for most of the surveillance time.	PQ	power		Kilowatt	Medium	
129	48	 turbines	ST	1279	Power - operating	Specify the approximate power at which the unit has been operated for most of the surveillance time.	PQ	power		Kilowatt	Medium	
141	51	 expanders	TE	1279	Power - operating	Specify the approximate power at which the unit has been operated for most of the surveillance time.	PQ	power		Kilowatt	Low	
54	36	 generators	EG	1280	Power factor	cos¤å	Number			Number	Low	
347	87	 transformers	PT	1280	Power factor	Cos ¤å	Number			Number	Low	
912	180	 fixation	JF	1281	Power operating	Power - operating	PQ	power		Kilowatts, KW	Medium	
223	65	 vessels	VE	1282	Pressure - design	Design pressure	PQ	pressure		Pascal (bar)	High	
651	140	 pipelines	SL	1282	Pressure - design	Design pressure	PQ	pressure		Pascal (bar)	High	
225	65	 vessels	VE	1283	Pressure - operating	Operating pressure	PQ	pressure		Pascal (bar)	Medium	
617	136	 vessels	SV	1283	Pressure - operating	Specify	PQ	pressure		Pascal (bar)	Medium	
652	140	 pipelines	SL	1283	Pressure - operating	Operating pressure	PQ	pressure		Pascal (bar)	Medium	
901	174	 intervention)	WC	1284	Pressure exposure	Operational pressures encountered	PQ	pressure		Pascal (bar, psi)	High	
689	145	(TR-SCSSV	TR-SCSSV	1285	Pressure rating						Low	
721	148	 DHSV/WRSCSSV	WR-SCSSV	1285	Pressure rating						Low	
746	152	Electrical submersible pumps	ESP	1285	Pressure rating	Bolt on discharge head	PQ	pressure		Psi	High	
840	167	 (BOP)	BO	1285	Pressure rating	Specify	PQ	pressure		Pascal (pounds per square inch)	High	
870	170	 (BOP)	BO	1285	Pressure rating	Specify	PQ	pressure		Pascal (pounds per square inch)	High	
900	174	 intervention)	WC	1285	Pressure rating	Working pressure rating	PQ	pressure		Pascal (bar, psi)	High	
817	162	 drives	TD	1286	Pressure utilities	Hydraulic pressure	PQ	pressure		Pascal (bar)	Low	
818	162	 drives	TD	1286	Pressure utilities	Air pressure	PQ	pressure		Pascal (bar)	Low	
195	58	 exchangers	HE	1287	Pressure, cold side	Design pressure	PQ	pressure		Pascal (bar)	Medium	
194	58	 exchangers	HE	1288	Pressure, hot side	Design pressure	PQ	pressure		Pascal (bar)	Medium	
343	87	 transformers	PT	1289	Primary voltage	Rated voltage	PQ	electrical tension / voltage		Kilovolts	High	
290	77	 Swivels	SW	1290	Produced-fluid corrosiveness	Type of service	List		1164	Sweet service, sour service	Medium	
300	80	 tanks	TA	1291	Product specific gravity	Relative density	Number			Number	Medium	
519	122	 trees	XT	1292	Protection type	Over-trawlable, trawl-catching, etc.	List		1166	Trawl-catching, trawl-deflecting, none	High	
564	127	 Risers	PR	1293	Protection, corrosion	Specify	List		1004	Active, passive	Medium	
565	127	 Risers	PR	1294	Protection, mechanical	Specify	List		1100	I-tube, J-tube, riser shaft penetration	Medium	
105	45	 Pumps	PU	1295	Pump - design	Design characteristic	List		1012	Axial, radial, composite, diaphragm, plunger, piston, screw, vane, gear, lobe	High	
118	45	 Pumps	PU	1296	Pump cooling	Specify if separate cooling system is installed	Bool			Yes/No	Low	
587	130	 pumps	SP	1297	Pump coupling		List		1070	Fixed, flexible, hydraulic	Low	
590	130	 pumps	SP	1298	Pump design	Design characteristic	List		1012	Axial, radial, composite, diaphragm, plunger, piston, screw, vane, gear, lobe	High	
583	130	 pumps	SP	1299	Pump driver	Type of driver	List		1057	Electric motor, turbine, hydraulic motor	High	
752	153	Electrical submersible pumps	ESP	1300	Pump stage thrust	Pump and gas handler	PQ	weight		Pounds, lbs	High	
36	33	 Compressors	CO	1301	Radial bearing	Type	List		1010	Antifrictional, journal, magnetic	Low	
62	36	 generators	EG	1301	Radial bearing	Type	List		1010	Antifrictional, journal, magnetic	Low	
119	45	 Pumps	PU	1301	Radial bearing	Type	List		1010	Antifrictional, journal, magnetic	Low	
153	51	 expanders	TE	1301	Radial bearing	Type	List		1010	Antifrictional, journal, magnetic	Low	
262	71	 Winches	WI	1301	Radial bearing	Type	List		1010	Antifrictional, journal, magnetic	Low	
594	130	 pumps	SP	1302	Radial bearing type	Specify	List		1104	Magnetic, roller, sliding	Low	
842	167	 (BOP)	BO	1303	Ram preventers - manufacturer (and model)	Specify				Specify	High	
875	171	 (BOP)	BO	1303	Ram preventers - manufacturer (and model)	Specify				Specify	High	
843	167	 (BOP)	BO	1304	Ram preventers, pressure rating	Specify	PQ	pressure		Pascal (pounds per square inch)	High	
876	171	 (BOP)	BO	1304	Ram preventers, pressure rating	Specify	PQ	pressure		Pascal (pounds per square inch)	High	
362	90	 Switchgear	SG	1305	Rated busbar current	Maximum continuously current at specified conditions	PQ	electrical current / amperage		Amperes	High	
364	90	 Switchgear	SG	1306	Rated duration of short circuit	The interval of time in which the switchgear shall withstand specified short time withstand current	PQ	time		Seconds	Low	
366	90	 Switchgear	SG	1307	Rated frequency	Normal operation frequency	PQ	frequency		Hertz	High	
191	58	 exchangers	HE	1308	Rated heat transfer	Design value	PQ	power		Kilowatt	Medium	
208	61	 boilers	HB	1308	Rated heat transfer	Design value	PQ	power		Kilowatt	High	
324	83	 UPS	UP	1309	Rated output load and power factor	Apparent power and power factor in nominal operations	PQ	Kilovolt*amperes/cos?		Kilovolt*amperes/cos?	High	
810	162	 drives	TD	1310	Rated power	Max. output	PQ	power		Kilowatt	High	
363	90	 Switchgear	SG	1311	Rated short time withstand current	The rms value of the short circuit current which the switchgear shall withstand during the specified time	PQ	electrical current / amperage		Kilo Amperes (kA)	Low	
361	90	 Switchgear	SG	1312	Rated system voltage	Expected operation voltage	PQ	electrical tension / voltage		Volts, AC or DC	High	
331	83	 UPS	UP	1313	Recharge time	The time to recharge the battery to 90 % capacity	PQ	time		Hours	Medium	
40	33	 Compressors	CO	1314	Reciprocating compressors only	Type	List		1071	Fixed, flexible, hydraulic, disconnect		
329	83	 UPS	UP	1315	Rectifier/inverter bypass system	The type of bypass switch	List		1105	Manual, static	Medium	
506	118	control	CS	1316	Redundancy		Bool			Yes/no	Medium	
267	71	 Winches	WI	1317	Regeneration of power	As applicable	Bool			Yes/No	Low	
132	48	 turbines	ST	1318	Regulating system	Specify type	List		1063	Electronic, hydraulic	Medium	
700	146	(TR-SCSSV	TR-SCSSV	1319	Remarks					Character field	Low	
734	149	DHSV/WR-SCSSV	WR-SCSSV	1319	Remarks					Character field	Low	
268	71	 Winches	WI	1320	Remote control	As applicable	Bool			Yes/No	Low	
621	136	 vessels	SV	1321	Retention time	Specify	PQ	time		Minutes	Medium	
824	163	 drives	TD	1322	Retractable dolly frame	Specify	Bool			Yes/no	Low	
612	136	 vessels	SV	1323	Retrievable	Retrievability of the subsea pressure vessel	Bool			Yes/No	High	
833	166	 (BOP)	BO	1324	Rig mooring	Specify	List		1050	DP, Anchored	Medium	
832	166	 (BOP)	BO	1325	Rig type	Specify	List		1144	Semi-submersible, Drill ship, Jackup, etc.	Medium	
566	127	 Risers	PR	1326	Riser layout	Specify	List		1078	Free hanging, Lazy S, lazy wave, pliant wave, steep S, steep wave	Medium	
551	126	 Risers	PR	1327	Riser length		PQ	length		Metres	High	
276	74	 Turrets	TU	1328	Riser termination	Type	List		1075	Flanged, quick connect, quick disconnect, welded	High	
311	80	 tanks	TA	1329	Roof material	Specify type or code				Specify	Medium	
275	74	 Turrets	TU	1330	Rotation system		List		1004	Active, passive	High	
170	54	 Cranes	CR	1331	Safe working load (SWL)	Cranes safe working load	PQ	volume		Metric tonnes	High	
291	77	 Swivels	SW	1332	Sand production	Measured or estimated sand production	PQ	density		Grams per cubic metre	Low	
544	123	 trees	XT	1332	Sand production	Specify	Bool			Yes/no	Low	
574	127	 Risers	PR	1332	Sand production	Specify	Bool			Yes/no	Low	
627	136	 vessels	SV	1332	Sand production	Specify	Bool			Yes/No	Low	
541	123	 trees	XT	1333	Scale formation	Specify	Bool			Yes/no	Low	
571	127	 Risers	PR	1333	Scale formation	Specify	Bool			Yes/no	Low	
631	136	 vessels	SV	1333	Scale formation	Specify	Bool			Yes/No	Low	
697	146	(TR-SCSSV	TR-SCSSV	1334	Seal configuration and type	Describe configuration and materials used in dynamic and static seals				Character field	Low	
726	148	 DHSV/WRSCSSV	WR-SCSSV	1334	Seal configuration and type	Describe configuration and materials used in dynamic and static seals				Character field	Low	
450	109	 Valves	VA	1335	Seat design	Type of seat design	List		1153	Soft seated, metal-to-metal seated	Medium	
725	148	 DHSV/WRSCSSV	WR-SCSSV	1336	Secondar y control line function		List		1117	Not installedBalance linePermanent lockoutTemporary lockoutNormal operationOtherUnknown	Low	
696	146	(TR-SCSSV	TR-SCSSV	1337	Secondary control line function		List		1117	Not installedBalance linePermanent lockoutTemporary lockoutNormal operationOtherUnknown	Low	
862	167	 (BOP)	BO	1338	Secondary control system	Specify				Specify	Medium	
889	171	 (BOP)	BO	1338	Secondary control system	Specify				Specify	Medium	
344	87	 transformers	PT	1339	Secondary voltage	Rated voltage	PQ	electrical tension / voltage		Kilovolts	High	
402	97	 detectors	FG	1340	Self-test feature	Degree of self-testing	List		1113	No self-test, automatic loop test, built-in test, combined	Medium	
422	101	 devices	IP	1340	Self-test feature	Degree of self-testing	List		1113	No self-test, automatic loop test, built-in test, combined	High	
430	104	 units	CL	1340	Self-test feature	Degree of self-testing	List		1114	No self-test, automatic-loop test, builtin test, combined	High	
399	97	 detectors	FG	1341	Sensing principle	Type	List		1069	Fire:Ionization, optical, IR, UV, IR/UV, rate rise, rate comp., fixed temp., fusible plug, camera, multisensor (optical/heat) Gas:Catalytic, electrochemical, photoelectrochemical, photoelectric beam, IR, UV, acoustic, camera, aspirating, optical beam, solid state	High	
414	101	 devices	IP	1341	Sensing principle	Applicable for pressure sensors only	List		1021	Bonded strain, semiconductor, strain, piezoelectric, electromechanical, capacitance, reluctance, oscillating wire	High	
415	101	 devices	IP	1341	Sensing principle	Applicable for level sensors only	List		1047	Differential-pressure cell, capacitance, conductive, displacement, diaphragm, sonic, optical, microwave, radio frequency, nuclear	High	
419	101	 devices	IP	1342	Sensor voting, k out of Y (only as relevant)	At least k out of the total number, Y, of sensors shall provide signal to initiate control/safety action. k and Y shall be entered						
665	142	 completion	WE	1343	Serial number a	Provide serial number which uniquely identifies equipment (on a per equipment basis)				Text	High/medium	
744	152	Electrical submersible pumps	ESP	1344	Shaft coupling rating	All, where applicable	PQ	power		Horse power HP	High	
113	45	 Pumps	PU	1345	Shaft orientation		List		1090	Horizontal, vertical	Low	
596	130	 pumps	SP	1345	Shaft orientation	Specify	List		1090	Horizontal, vertical	Low	
743	152	Electrical submersible pumps	ESP	1346	Shaft power rating	All, where applicable	PQ	power		Horse power HP	High	
35	33	 Compressors	CO	1347	Shaft seal system	Separate, combined, dry, etc.	List		1146	Separate, combined, dry	High	
597	130	 pumps	SP	1348	Shaft seal type	Specify	List		1055	Dry, gland, labyrinth, mechanical, oil, packed combined	Low	
33	33	 Compressors	CO	1349	Shaft sealing	Type	List		1107	Mechanical, oil, dry gas-packed, dry gland, labyrinth, combined	Low	
114	45	 Pumps	PU	1349	Shaft sealing	Type	List		1106	Mechanical, oil seal, dry gas, packed, gland, dry seal, labyrinth, combined	Low	
151	51	 expanders	TE	1349	Shaft sealing	Type	List		1108	Mechanical, oil, seal, dry gas, packed, gland, dry seal, labyrinth, combined	Low	
310	80	 tanks	TA	1350	Shell material	Specify type or code				Specify	Medium	
